id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_grave_02_1,d_counseling_grave_02,Speech,0,grave_p,grave_p,Locale_Counseling:d_counseling_grave_02_1,True,grave_p,1,idle,CountryVillage_d,L_10,L_10,1.0,bgm_story_backtonormal,,
d_counseling_grave_02_2,d_counseling_grave_02,Speech,0,grave_p,grave_p,Locale_Counseling:d_counseling_grave_02_2,True,,1,idle,,L_10,L_10,1.0,,,
d_counseling_grave_02_3,d_counseling_grave_02,Speech,0,grave_p,grave_p,Locale_Counseling:d_counseling_grave_02_3,True,,1,idle,,L_10,L_10,1.0,,,
d_counseling_grave_02_4,d_counseling_grave_02,Speech,0,grave_p,grave_p,Locale_Counseling:d_counseling_grave_02_4,True,,1,idle,,L_10,L_10,1.0,,,
d_counseling_grave_02_5,d_counseling_grave_02,Speech,0,grave_p,grave_p,Locale_Counseling:d_counseling_grave_02_5,True,,1,pain,,L_10,L_10,1.0,,,
d_counseling_grave_02_6,d_counseling_grave_02,Choice,100,Choice,,Locale_Counseling:d_counseling_grave_02_6,False,,1,pain,,L_10,L_10,1.0,,d_counseling_grave_02_8,
d_counseling_grave_02_7,d_counseling_grave_02,Choice,120,Choice,,Locale_Counseling:d_counseling_grave_02_7,False,,1,pain,,L_10,L_10,1.0,,d_counseling_grave_02_11,
d_counseling_grave_02_8,d_counseling_grave_02,Speech,0,grave_p,grave_p,Locale_Counseling:d_counseling_grave_02_8,True,,1,idle,,L_10,L_100,1.0,,,
d_counseling_grave_02_9,d_counseling_grave_02,Speech,0,grave_p,grave_p,Locale_Counseling:d_counseling_grave_02_9,True,,1,idle,,L_100,L_100,1.0,,,
d_counseling_grave_02_10,d_counseling_grave_02,Speech,0,grave_p,grave_p,Locale_Counseling:d_counseling_grave_02_10,True,,1,idle,,L_100,L_100,1.0,,d_counseling_grave_02_14,
d_counseling_grave_02_11,d_counseling_grave_02,Speech,0,grave_p,grave_p,Locale_Counseling:d_counseling_grave_02_11,True,,1,idle,,L_10,L_100,1.0,,,
d_counseling_grave_02_12,d_counseling_grave_02,Speech,0,grave_p,grave_p,Locale_Counseling:d_counseling_grave_02_12,True,,1,idle,,L_100,L_100,1.0,,,
d_counseling_grave_02_13,d_counseling_grave_02,Speech,0,grave_p,grave_p,Locale_Counseling:d_counseling_grave_02_13,True,,1,idle,,L_100,L_100,1.0,,d_counseling_grave_02_14,
d_counseling_grave_02_14,d_counseling_grave_02,Narration,0,Narration,Narration,Locale_Counseling:d_counseling_grave_02_14,False,,1,idle,none,L_100,L_100,1.0,,,grave_p
