id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_poli_08_1,d_counseling_poli_08,Speech,0,poli,poli,Locale_Counseling:d_counseling_poli_08_1,True,poli,1,angry,CommanderRoom,XS_10,XS_10,1.0,bgm_story_backtonormal,,
d_counseling_poli_08_2,d_counseling_poli_08,Speech,0,poli,poli,Locale_Counseling:d_counseling_poli_08_2,True,,1,angry,,XS_10,XS_10,1.0,,,
d_counseling_poli_08_3,d_counseling_poli_08,Choice,120,poli,,Locale_Counseling:d_counseling_poli_08_3,False,,1,angry,,XS_10,XS_10,1.0,,d_counseling_poli_08_5,
d_counseling_poli_08_4,d_counseling_poli_08,Choice,100,poli,,Locale_Counseling:d_counseling_poli_08_4,False,,1,angry,,XS_10,XS_10,1.0,,d_counseling_poli_08_7,
d_counseling_poli_08_5,d_counseling_poli_08,Speech,0,poli,poli,Locale_Counseling:d_counseling_poli_08_5,True,,1,delight,,XS_10,XS_100,1.0,,,
d_counseling_poli_08_6,d_counseling_poli_08,Speech,0,poli,poli,Locale_Counseling:d_counseling_poli_08_6,True,,1,delight,,XS_100,XS_100,1.0,,d_counseling_poli_08_10,
d_counseling_poli_08_7,d_counseling_poli_08,Speech,0,poli,poli,Locale_Counseling:d_counseling_poli_08_7,True,,1,surprise,,XS_10,XS_100,1.0,,,
d_counseling_poli_08_8,d_counseling_poli_08,Speech,0,poli,poli,Locale_Counseling:d_counseling_poli_08_8,True,,1,surprise,,XS_100,XS_100,1.0,,,
d_counseling_poli_08_9,d_counseling_poli_08,Speech,0,poli,poli,Locale_Counseling:d_counseling_poli_08_9,True,,1,angry,,XS_100,XS_100,1.0,,,
d_counseling_poli_08_10,d_counseling_poli_08,Narration,0,poli,,Locale_Counseling:d_counseling_poli_08_10,False,,1,idle,none,XS_100,XS_100,1.0,,,poli
