id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_rupee_wintershopper_01_1,d_counseling_rupee_wintershopper_01,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_01_1,True,CommanderRoom,L_10,L_10,1.0,bgm_story_backtonormal,,rupee_w,1,idle_02,
d_counseling_rupee_wintershopper_01_2,d_counseling_rupee_wintershopper_01,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_01_2,True,,L_10,L_10,1.0,,,,1,idle_02,
d_counseling_rupee_wintershopper_01_3,d_counseling_rupee_wintershopper_01,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_01_3,True,,L_10,L_10,1.0,,,,1,idle_02,
d_counseling_rupee_wintershopper_01_4,d_counseling_rupee_wintershopper_01,Choice,120,rupee_w,,Locale_Counseling:d_counseling_rupee_wintershopper_01_4,False,,L_10,L_10,1.0,,d_counseling_rupee_wintershopper_01_6,,1,idle_02,
d_counseling_rupee_wintershopper_01_5,d_counseling_rupee_wintershopper_01,Choice,100,rupee_w,,Locale_Counseling:d_counseling_rupee_wintershopper_01_5,False,,L_10,L_10,1.0,,d_counseling_rupee_wintershopper_01_9,,1,idle_02,
d_counseling_rupee_wintershopper_01_6,d_counseling_rupee_wintershopper_01,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_01_6,True,,L_10,L_100,1.0,,,,1,special,
d_counseling_rupee_wintershopper_01_7,d_counseling_rupee_wintershopper_01,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_01_7,True,,L_100,L_100,1.0,,,,1,shy,
d_counseling_rupee_wintershopper_01_8,d_counseling_rupee_wintershopper_01,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_01_8,True,,L_100,L_100,1.0,,d_counseling_rupee_wintershopper_01_11,,1,shy,
d_counseling_rupee_wintershopper_01_9,d_counseling_rupee_wintershopper_01,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_01_9,True,,L_10,L_100,1.0,,,,1,sad,
d_counseling_rupee_wintershopper_01_10,d_counseling_rupee_wintershopper_01,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_01_10,True,,L_100,L_100,1.0,,,,1,sad,
d_counseling_rupee_wintershopper_01_11,d_counseling_rupee_wintershopper_01,Narration,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_01_11,True,none,L_100,L_100,1.0,,,,1,idle_02,rupee_w
