id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_pepper_20_1,d_counseling_pepper_20,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_1,True,CommanderRoom,XS_10,XS_10,1.0,bgm_story_backtonormal,,pepper,1,idle,
d_counseling_pepper_20_2,d_counseling_pepper_20,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_2,True,,XS_10,XS_10,1.0,,,,1,idle,
d_counseling_pepper_20_3,d_counseling_pepper_20,Choice,120,pepper,,Locale_Counseling:d_counseling_pepper_20_3,False,,XS_10,XS_10,1.0,,d_counseling_pepper_20_5,,1,idle,
d_counseling_pepper_20_4,d_counseling_pepper_20,Choice,100,pepper,,Locale_Counseling:d_counseling_pepper_20_4,False,,XS_10,XS_10,1.0,,d_counseling_pepper_20_10,,1,idle,
d_counseling_pepper_20_5,d_counseling_pepper_20,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_5,False,,XS_10,XS_100,1.0,,,,1,surprise,
d_counseling_pepper_20_6,d_counseling_pepper_20,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_6,True,,XS_100,XS_100,1.0,,,,1,special,
d_counseling_pepper_20_7,d_counseling_pepper_20,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_7,True,,XS_100,XS_100,1.0,,,,1,special,
d_counseling_pepper_20_8,d_counseling_pepper_20,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_8,True,,XS_100,XS_100,1.0,,,,1,special,
d_counseling_pepper_20_9,d_counseling_pepper_20,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_9,True,,XS_100,XS_100,1.0,,d_counseling_pepper_20_14,,1,special,
d_counseling_pepper_20_10,d_counseling_pepper_20,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_10,False,,XS_10,XS_100,1.0,,,,1,surprise,
d_counseling_pepper_20_11,d_counseling_pepper_20,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_11,True,,XS_100,XS_100,1.0,,,,1,shy,
d_counseling_pepper_20_12,d_counseling_pepper_20,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_12,True,,XS_100,XS_100,1.0,,,,1,shy,
d_counseling_pepper_20_13,d_counseling_pepper_20,Speech,0,pepper,pepper,Locale_Counseling:d_counseling_pepper_20_13,True,,XS_100,XS_100,1.0,,,,1,special,
d_counseling_pepper_20_14,d_counseling_pepper_20,Narration,0,pepper,,Locale_Counseling:d_counseling_pepper_20_14,False,none,XS_100,XS_100,1.0,,,,1,special,pepper
