id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_clay_14_1,d_counseling_clay_14,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_14_1,True,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,clay,1,sad,
d_counseling_clay_14_2,d_counseling_clay_14,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_14_2,True,,10,10,1.0,,,,1,sad,
d_counseling_clay_14_3,d_counseling_clay_14,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_14_3,True,,10,10,1.0,,,,1,sad,
d_counseling_clay_14_4,d_counseling_clay_14,Choice,120,clay,,Locale_Counseling:d_counseling_clay_14_4,False,,10,10,1.0,,d_counseling_clay_14_6,,1,sad,
d_counseling_clay_14_5,d_counseling_clay_14,Choice,100,clay,,Locale_Counseling:d_counseling_clay_14_5,False,,10,10,1.0,,d_counseling_clay_14_11,,1,sad,
d_counseling_clay_14_6,d_counseling_clay_14,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_14_6,True,,10,100,1.0,,,,1,surprise,
d_counseling_clay_14_7,d_counseling_clay_14,Monologue,0,clay,,Locale_Counseling:d_counseling_clay_14_7,True,,100,100,1.0,,,,1,surprise,
d_counseling_clay_14_8,d_counseling_clay_14,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_14_8,True,,100,100,1.0,,,,1,surprise,
d_counseling_clay_14_9,d_counseling_clay_14,Self,0,clay,,Locale_Counseling:d_counseling_clay_14_9,False,,100,100,1.0,,,,1,surprise,
d_counseling_clay_14_10,d_counseling_clay_14,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_14_10,True,,100,100,1.0,,d_counseling_clay_14_13,,1,delight,
d_counseling_clay_14_11,d_counseling_clay_14,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_14_11,True,,10,100,1.0,,,,1,sad,
d_counseling_clay_14_12,d_counseling_clay_14,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_14_12,True,,100,100,1.0,,d_counseling_clay_14_13,,1,sad,
d_counseling_clay_14_13,d_counseling_clay_14,Narration,0,clay,,Locale_Counseling:d_counseling_clay_14_13,False,none,100,100,1.0,,,,1,idle,clay
