id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_emma_tactical_14_1,d_counseling_emma_tactical_14,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_14_1,True,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,emma_t,1,idle,
d_counseling_emma_tactical_14_2,d_counseling_emma_tactical_14,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_14_2,True,,10,10,1.0,,,,,1,idle,
d_counseling_emma_tactical_14_3,d_counseling_emma_tactical_14,Narration,0,emma_t,,Locale_Counseling:d_counseling_emma_tactical_14_3,False,,10,100,1.0,,sfx_scn_photopass,,,1,idle,
d_counseling_emma_tactical_14_4,d_counseling_emma_tactical_14,Monologue,0,emma_t,,Locale_Counseling:d_counseling_emma_tactical_14_4,False,,100,100,1.0,,,,,1,idle,
d_counseling_emma_tactical_14_5,d_counseling_emma_tactical_14,Choice,120,emma_t,,Locale_Counseling:d_counseling_emma_tactical_14_5,False,,100,100,1.0,,,d_counseling_emma_tactical_14_7,,1,idle,
d_counseling_emma_tactical_14_6,d_counseling_emma_tactical_14,Choice,100,emma_t,,Locale_Counseling:d_counseling_emma_tactical_14_6,False,,100,100,1.0,,,d_counseling_emma_tactical_14_10,,1,idle,
d_counseling_emma_tactical_14_7,d_counseling_emma_tactical_14,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_14_7,True,,100,100,1.0,,,,,1,delight,
d_counseling_emma_tactical_14_8,d_counseling_emma_tactical_14,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_14_8,True,,100,100,1.0,,,,,1,delight,
d_counseling_emma_tactical_14_9,d_counseling_emma_tactical_14,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_14_9,True,,100,100,1.0,,,d_counseling_emma_tactical_14_13,,1,idle,
d_counseling_emma_tactical_14_10,d_counseling_emma_tactical_14,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_14_10,True,,100,100,1.0,,,,,1,idle,
d_counseling_emma_tactical_14_11,d_counseling_emma_tactical_14,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_14_11,True,,100,100,1.0,,,,,1,idle,
d_counseling_emma_tactical_14_12,d_counseling_emma_tactical_14,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_14_12,True,,100,100,1.0,,,d_counseling_emma_tactical_14_13,,1,delight,
d_counseling_emma_tactical_14_13,d_counseling_emma_tactical_14,Narration,0,emma_t,,Locale_Counseling:d_counseling_emma_tactical_14_13,False,none,100,100,1.0,,,,,1,idle,emma_t
