id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,jump_target,characters/0/hide_char_id
d_counseling_marciana_14_1,d_counseling_marciana_14,Narration,0,marciana,Locale_Counseling:d_counseling_marciana_14_1,False,marciana,1,idle,CommanderRoom,10,10,1.0,sfx_scn_drone,bgm_story_backtonormal,,,
d_counseling_marciana_14_2,d_counseling_marciana_14,Speech,0,marciana,Locale_Counseling:d_counseling_marciana_14_2,True,,1,idle,,10,10,1.0,,,marciana,,
d_counseling_marciana_14_3,d_counseling_marciana_14,Speech,0,marciana,Locale_Counseling:d_counseling_marciana_14_3,True,,1,idle,,10,10,1.0,,,marciana,,
d_counseling_marciana_14_4,d_counseling_marciana_14,Narration,0,marciana,Locale_Counseling:d_counseling_marciana_14_4,False,,1,idle,,10,10,1.0,sfx_scn_drone,,,,
d_counseling_marciana_14_5,d_counseling_marciana_14,Choice,100,marciana,Locale_Counseling:d_counseling_marciana_14_5,False,,1,idle,,10,10,1.0,,,,d_counseling_marciana_14_7,
d_counseling_marciana_14_6,d_counseling_marciana_14,Choice,120,marciana,Locale_Counseling:d_counseling_marciana_14_6,False,,1,idle,,10,10,1.0,,,,d_counseling_marciana_14_10,
d_counseling_marciana_14_7,d_counseling_marciana_14,Speech,0,marciana,Locale_Counseling:d_counseling_marciana_14_7,True,,1,idle,,10,100,1.0,,,marciana,,
d_counseling_marciana_14_8,d_counseling_marciana_14,Speech,0,marciana,Locale_Counseling:d_counseling_marciana_14_8,True,,1,idle,,100,100,1.0,,,marciana,,
d_counseling_marciana_14_9,d_counseling_marciana_14,Speech,0,marciana,Locale_Counseling:d_counseling_marciana_14_9,True,,1,idle,,100,100,1.0,,,marciana,d_counseling_marciana_14_13,
d_counseling_marciana_14_10,d_counseling_marciana_14,Speech,0,marciana,Locale_Counseling:d_counseling_marciana_14_10,False,,1,good,,10,100,1.0,,,marciana,,
d_counseling_marciana_14_11,d_counseling_marciana_14,Speech,0,marciana,Locale_Counseling:d_counseling_marciana_14_11,False,,1,think,,100,100,1.0,,,marciana,,
d_counseling_marciana_14_12,d_counseling_marciana_14,Speech,0,marciana,Locale_Counseling:d_counseling_marciana_14_12,True,,1,delight,,100,100,1.0,,,marciana,d_counseling_marciana_14_13,
d_counseling_marciana_14_13,d_counseling_marciana_14,Narration,0,marciana,Locale_Counseling:d_counseling_marciana_14_13,False,,1,idle,none,100,100,1.0,,,,,marciana
