id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_clay_02_1,d_counseling_clay_02,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_02_1,True,clay,1,idle,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,
d_counseling_clay_02_2,d_counseling_clay_02,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_02_2,True,,1,idle,,10,10,1.0,,,
d_counseling_clay_02_3,d_counseling_clay_02,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_02_3,True,,1,surprise,,10,10,1.0,,,
d_counseling_clay_02_4,d_counseling_clay_02,Choice,100,clay,,Locale_Counseling:d_counseling_clay_02_4,False,,1,surprise,,10,10,1.0,,d_counseling_clay_02_6,
d_counseling_clay_02_5,d_counseling_clay_02,Choice,120,clay,,Locale_Counseling:d_counseling_clay_02_5,False,,1,surprise,,10,10,1.0,,d_counseling_clay_02_9,
d_counseling_clay_02_6,d_counseling_clay_02,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_02_6,True,,1,worry,,10,100,1.0,,,
d_counseling_clay_02_7,d_counseling_clay_02,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_02_7,False,,1,sad,,100,100,1.0,,,
d_counseling_clay_02_8,d_counseling_clay_02,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_02_8,True,,1,sad,,100,100,1.0,,d_counseling_clay_02_12,
d_counseling_clay_02_9,d_counseling_clay_02,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_02_9,True,,1,delight,,10,100,1.0,,,
d_counseling_clay_02_10,d_counseling_clay_02,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_02_10,True,,1,idle,,100,100,1.0,,,
d_counseling_clay_02_11,d_counseling_clay_02,Speech,0,clay,clay,Locale_Counseling:d_counseling_clay_02_11,True,,1,idle,,100,100,1.0,,d_counseling_clay_02_12,
d_counseling_clay_02_12,d_counseling_clay_02,Narration,0,clay,,Locale_Counseling:d_counseling_clay_02_12,False,,1,idle,none,100,100,1.0,,,clay
