id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,speaker,characters/0/hide_char_id
d_counseling_dorothy_serendipity_13_1,d_counseling_dorothy_serendipity_13,Monologue,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_1,False,dorothy_s,1,idle,Deck_n,100,100,1.0,bgm_story_milkyway,,,
d_counseling_dorothy_serendipity_13_2,d_counseling_dorothy_serendipity_13,Monologue,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_2,False,,1,idle,,100,100,1.0,,,,
d_counseling_dorothy_serendipity_13_3,d_counseling_dorothy_serendipity_13,Choice,120,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_3,False,,1,idle,,100,100,1.0,,d_counseling_dorothy_serendipity_13_5,,
d_counseling_dorothy_serendipity_13_4,d_counseling_dorothy_serendipity_13,Choice,100,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_4,False,,1,idle,,100,100,1.0,,d_counseling_dorothy_serendipity_13_9,,
d_counseling_dorothy_serendipity_13_5,d_counseling_dorothy_serendipity_13,Monologue,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_5,False,,1,idle,,100,10,1.0,,,,
d_counseling_dorothy_serendipity_13_6,d_counseling_dorothy_serendipity_13,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_6,False,,1,surprise,,10,10,1.0,,,dorothy_s,
d_counseling_dorothy_serendipity_13_7,d_counseling_dorothy_serendipity_13,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_7,True,,1,surprise,,10,10,1.0,,,dorothy_s,
d_counseling_dorothy_serendipity_13_8,d_counseling_dorothy_serendipity_13,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_8,True,,1,idle,,10,10,1.0,,d_counseling_dorothy_serendipity_13_13,dorothy_s,
d_counseling_dorothy_serendipity_13_9,d_counseling_dorothy_serendipity_13,Self,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_9,False,,1,idle,,100,10,0.5,,,,
d_counseling_dorothy_serendipity_13_10,d_counseling_dorothy_serendipity_13,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_10,False,,1,no,,10,10,1.0,,,dorothy_s,
d_counseling_dorothy_serendipity_13_11,d_counseling_dorothy_serendipity_13,Narration,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_11,False,,1,no,,10,10,1.0,,,,
d_counseling_dorothy_serendipity_13_12,d_counseling_dorothy_serendipity_13,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_12,True,,1,no,,10,10,1.0,,d_counseling_dorothy_serendipity_13_13,dorothy_s,
d_counseling_dorothy_serendipity_13_13,d_counseling_dorothy_serendipity_13,Narration,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_13_13,False,,1,idle,none,10,10,1.0,,,,dorothy_s
