id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_Counseling_elegg_boomandshock_07_01,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_01,True,Deck_d,S_10,S_10,1.0,bgm_story_summermood,,,elegg_s,1,idle,
d_Counseling_elegg_boomandshock_07_02,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_02,True,,S_10,S_10,1.0,,,,,1,idle,
d_Counseling_elegg_boomandshock_07_03,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_03,True,,S_10,S_10,1.0,,,,,1,idle,
d_Counseling_elegg_boomandshock_07_04,d_Counseling_elegg_boomandshock_07,Choice,100,elegg_s,,Locale_Counseling:d_Counseling_elegg_boomandshock_07_04,False,,S_10,S_10,1.0,,d_Counseling_elegg_boomandshock_07_06,,,1,idle,
d_Counseling_elegg_boomandshock_07_05,d_Counseling_elegg_boomandshock_07,Choice,120,elegg_s,,Locale_Counseling:d_Counseling_elegg_boomandshock_07_05,False,,S_10,S_10,1.0,,d_Counseling_elegg_boomandshock_07_16,,,1,idle,
d_Counseling_elegg_boomandshock_07_06,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_06,True,,S_10,S_10,1.0,,,,,1,idle,
d_Counseling_elegg_boomandshock_07_07,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_07,True,,S_10,S_10,1.0,,,,,1,idle,
d_Counseling_elegg_boomandshock_07_08,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_08,True,,S_10,S_10,1.0,,,,,1,idle,
d_Counseling_elegg_boomandshock_07_09,d_Counseling_elegg_boomandshock_07,Narration,0,elegg_s,,Locale_Counseling:d_Counseling_elegg_boomandshock_07_09,False,,S_10,S_10,1.0,,,sfx_scn_bombbeep,,1,idle,
d_Counseling_elegg_boomandshock_07_10,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_10,True,,S_10,S_100,1.0,,,,,1,sad,
d_Counseling_elegg_boomandshock_07_11,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_11,True,,S_100,S_100,1.0,,,,,1,sad,
d_Counseling_elegg_boomandshock_07_12,d_Counseling_elegg_boomandshock_07,Self,0,elegg_s,,Locale_Counseling:d_Counseling_elegg_boomandshock_07_12,False,,S_100,S_100,1.0,,,,,1,sad,
d_Counseling_elegg_boomandshock_07_13,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_13,True,,S_100,S_100,1.0,,,,,1,sad,
d_Counseling_elegg_boomandshock_07_14,d_Counseling_elegg_boomandshock_07,Self,0,elegg_s,,Locale_Counseling:d_Counseling_elegg_boomandshock_07_14,False,,S_100,S_100,1.0,,,,,1,sad,
d_Counseling_elegg_boomandshock_07_15,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_15,False,,S_100,S_100,1.0,,d_Counseling_elegg_boomandshock_07_23,,,1,sad,
d_Counseling_elegg_boomandshock_07_16,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_16,True,,S_10,S_10,1.0,,,,,1,idle,
d_Counseling_elegg_boomandshock_07_17,d_Counseling_elegg_boomandshock_07,Self,0,elegg_s,,Locale_Counseling:d_Counseling_elegg_boomandshock_07_17,False,,S_10,S_10,1.0,,,,,1,idle,
d_Counseling_elegg_boomandshock_07_18,d_Counseling_elegg_boomandshock_07,Self,0,elegg_s,,Locale_Counseling:d_Counseling_elegg_boomandshock_07_18,False,,S_10,S_10,1.0,,,,,1,idle,
d_Counseling_elegg_boomandshock_07_19,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_19,True,,S_10,S_10,1.0,,,,,1,idle,
d_Counseling_elegg_boomandshock_07_20,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_20,True,,S_10,S_10,1.0,,,,,1,idle,
d_Counseling_elegg_boomandshock_07_21,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_21,True,,S_10,S_10,1.0,,,,,1,idle,
d_Counseling_elegg_boomandshock_07_22,d_Counseling_elegg_boomandshock_07,Speech,0,elegg_s,elegg_s,Locale_Counseling:d_Counseling_elegg_boomandshock_07_22,True,,S_10,S_100,0.5,,d_Counseling_elegg_boomandshock_07_23,,,1,delight,
d_Counseling_elegg_boomandshock_07_23,d_Counseling_elegg_boomandshock_07,Narration,0,elegg_s,,Locale_Counseling:d_Counseling_elegg_boomandshock_07_23,False,none,S_100,S_100,1.0,,,,,1,idle,elegg_s
