id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_neon_blueocean_01_1,d_counseling_neon_blueocean_01,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_01_1,True,neon_s,1,no,Beach_d,XS_10,XS_10,1.0,bgm_story_summermood,,
d_counseling_neon_blueocean_01_2,d_counseling_neon_blueocean_01,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_01_2,True,,1,no,,XS_10,XS_10,1.0,,,
d_counseling_neon_blueocean_01_3,d_counseling_neon_blueocean_01,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_01_3,True,,1,no,,XS_10,XS_10,1.0,,,
d_counseling_neon_blueocean_01_4,d_counseling_neon_blueocean_01,Choice,120,neon_s,,Locale_Counseling:d_counseling_neon_blueocean_01_4,True,,1,no,,XS_10,XS_10,1.0,,d_counseling_neon_blueocean_01_6,
d_counseling_neon_blueocean_01_5,d_counseling_neon_blueocean_01,Choice,100,neon_s,,Locale_Counseling:d_counseling_neon_blueocean_01_5,True,,1,no,,XS_10,XS_10,1.0,,d_counseling_neon_blueocean_01_8,
d_counseling_neon_blueocean_01_6,d_counseling_neon_blueocean_01,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_01_6,True,,1,shy,,XS_10,XS_100,1.0,,,
d_counseling_neon_blueocean_01_7,d_counseling_neon_blueocean_01,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_01_7,True,,1,shy,,XS_100,XS_100,1.0,,d_counseling_neon_blueocean_01_10,
d_counseling_neon_blueocean_01_8,d_counseling_neon_blueocean_01,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_01_8,True,,1,worry,,XS_10,XS_100,1.0,,,
d_counseling_neon_blueocean_01_9,d_counseling_neon_blueocean_01,Speech,0,neon_s,neon_s,Locale_Counseling:d_counseling_neon_blueocean_01_9,True,,1,worry,,XS_100,XS_100,1.0,,,
d_counseling_neon_blueocean_01_10,d_counseling_neon_blueocean_01,Narration,0,neon_s,,Locale_Counseling:d_counseling_neon_blueocean_01_10,True,,1,idle,none,XS_100,XS_100,1.0,,,neon_s
