id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_mary_baygoddess_01_1,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_1,True,mary_s,1,idle,Beach_d,10,10,1.0,bgm_story_summermood,,
d_counseling_mary_baygoddess_01_2,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_2,True,,1,idle,,10,10,1.0,,,
d_counseling_mary_baygoddess_01_3,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_3,True,,1,idle,,10,10,1.0,,,
d_counseling_mary_baygoddess_01_4,d_counseling_mary_baygoddess_01,Choice,100,mary_s,,Locale_Counseling:d_counseling_mary_baygoddess_01_4,True,,1,idle,,10,10,1.0,,d_counseling_mary_baygoddess_01_6,
d_counseling_mary_baygoddess_01_5,d_counseling_mary_baygoddess_01,Choice,120,mary_s,,Locale_Counseling:d_counseling_mary_baygoddess_01_5,True,,1,idle,,10,10,1.0,,d_counseling_mary_baygoddess_01_11,
d_counseling_mary_baygoddess_01_6,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_6,True,,1,idle,,10,100,1.0,,,
d_counseling_mary_baygoddess_01_7,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_7,True,,1,idle,,100,100,1.0,,,
d_counseling_mary_baygoddess_01_8,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_8,True,,1,idle,,100,100,1.0,,,
d_counseling_mary_baygoddess_01_9,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_9,True,,1,idle,,100,100,1.0,,,
d_counseling_mary_baygoddess_01_10,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_10,True,,1,idle,,100,100,1.0,,d_counseling_mary_baygoddess_01_15,
d_counseling_mary_baygoddess_01_11,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_11,True,,1,sad,,10,100,1.0,,,
d_counseling_mary_baygoddess_01_12,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_12,True,,1,idle,,100,100,1.0,,,
d_counseling_mary_baygoddess_01_13,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_13,True,,1,idle,,100,100,1.0,,,
d_counseling_mary_baygoddess_01_14,d_counseling_mary_baygoddess_01,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_01_14,True,,1,idle,,100,100,1.0,,,
d_counseling_mary_baygoddess_01_15,d_counseling_mary_baygoddess_01,Narration,0,mary_s,,Locale_Counseling:d_counseling_mary_baygoddess_01_15,True,,1,idle,none,100,100,1.0,,,mary_s
