id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/hide_char_id
d_counseling_phantom_12_1,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_1,True,phantom,1,idle_02,CommanderRoom,L_10,L_10,1.0,bgm_story_backtonormal,,
d_counseling_phantom_12_2,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_2,True,,1,smile_02,,L_10,L_10,1.0,,,
d_counseling_phantom_12_3,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_3,True,,1,idle_02,,L_10,L_10,1.0,,,
d_counseling_phantom_12_4,d_counseling_phantom_12,Choice,100,Choice,,Locale_Counseling:d_counseling_phantom_12_4,False,,1,idle_02,,L_10,L_10,1.0,,d_counseling_phantom_12_6,
d_counseling_phantom_12_5,d_counseling_phantom_12,Choice,120,Choice,,Locale_Counseling:d_counseling_phantom_12_5,False,,1,idle_02,,L_10,L_10,1.0,,d_counseling_phantom_12_11,
d_counseling_phantom_12_6,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_6,True,,1,idle_02,,L_10,L_100,1.0,,,
d_counseling_phantom_12_7,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_7,True,,1,idle_02,,L_100,L_100,1.0,,,
d_counseling_phantom_12_8,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_8,True,,1,smile_02,,L_100,L_100,1.0,,,
d_counseling_phantom_12_9,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_9,True,,1,smile_02,,L_100,L_100,1.0,,,
d_counseling_phantom_12_10,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_10,True,,1,delight_02,,L_100,L_100,1.0,,d_counseling_phantom_12_16,
d_counseling_phantom_12_11,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_11,True,,1,special_02,,L_10,L_100,1.0,,,
d_counseling_phantom_12_12,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_12,True,,1,smile_02,,L_100,L_100,1.0,,,
d_counseling_phantom_12_13,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_13,True,,1,smile_02,,L_100,L_100,1.0,,,
d_counseling_phantom_12_14,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_14,True,,1,delight_02,,L_100,L_100,1.0,,,
d_counseling_phantom_12_15,d_counseling_phantom_12,Speech,0,phantom,phantom,Locale_Counseling:d_counseling_phantom_12_15,True,,1,delight_02,,L_100,L_100,1.0,,d_counseling_phantom_12_16,
d_counseling_phantom_12_16,d_counseling_phantom_12,Self,0,Self,,Locale_Counseling:d_counseling_phantom_12_16,False,,1,delight_02,,L_100,L_100,1.0,,,
d_counseling_phantom_12_17,d_counseling_phantom_12,Narration,0,Narration,,Locale_Counseling:d_counseling_phantom_12_17,False,,1,idle_02,none,L_100,L_100,1.0,,,phantom
