id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
s001_10_1,s001_10,,Speech,chime,chime,Locale_SideStory:s001_10_1,False,CrownCastleDiningRoom_d,,,,,,3,XXS_30,0,,,,100,bgm_story_thepilgrimacv,,None,None,,None,False,snowwhite,,1,idle,chime,,3,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_10_2,s001_10,,Speech,chime,chime,Locale_SideStory:s001_10_2,False,,,,,,,XXS_30,XXS_300,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_10_3,s001_10,,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_3,True,,,,,,,XXS_300,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_10_4,s001_10,,Speech,chime,chime,Locale_SideStory:s001_10_4,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,angry_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_10_5,s001_10,,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_5,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,angry_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_10_6,s001_10,,Speech,chime,chime,Locale_SideStory:s001_10_6,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,angry_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_10_7,s001_10,,Speech,chime,chime,Locale_SideStory:s001_10_7,True,,,,,,,31,XXS_300,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_10_8,s001_10,,Speech,chime,chime,Locale_SideStory:s001_10_8,True,,,,,,,XXS_300,XXS_300,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_10_9,s001_10,,Speech,chime,chime,Locale_SideStory:s001_10_9,True,,,,,,,XXS_300,XXS_300,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_10_10,s001_10,,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_10,True,,,,,,,XXS_300,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
