id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
s001_14_b3_e_1,s001_14_b3_e,,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_1,True,land_n,,,,,,1,10,0,,,,100,bgm_intotheswarm,,None,None,,None,False,marian_p,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_2,s001_14_b3_e,,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_2,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_3,s001_14_b3_e,,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_3,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_4,s001_14_b3_e,,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_4,False,,,,,,,10,10,0,,sfx_scn_2rapturestep,,100,,Low_2,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_5,s001_14_b3_e,,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_5,False,,,,,,,10,1,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_6,s001_14_b3_e,,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_6,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_7,s001_14_b3_e,,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_7,False,,,,,,,1,1,0,,sfx_scn_2rapturestep,,100,,Low_2,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_8,s001_14_b3_e,,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_8,True,,,,,,,1,10,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_9,s001_14_b3_e,,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_9,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_10,s001_14_b3_e,,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_10,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_11,s001_14_b3_e,,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_11,False,,,,,,,10,10,0,,sfx_scn_3rapturestep,,100,,Low_2,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_12,s001_14_b3_e,,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_12,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_13,s001_14_b3_e,,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_13,True,,,,,,,10,100,0,,,,100,,,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
s001_14_b3_e_14,s001_14_b3_e,,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_14,False,,,,,,,100,100,0,,sfx_scn_4rapturestep,,100,none,Low_2,None,None,,None,False,,,1,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
