id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
s002_11_1,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_1,True,yuni,1,surprise,Jail,black,black,1.0,ambient_scn_memorialnoise,bgm_intotheswarm,,,,
s002_11_2,s002_11,Speech,mana,mana,Locale_SideStory:s002_11_2,True,,1,surprise,,black,black,1.0,,,,,,
s002_11_3,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_3,True,,1,surprise,,S_10,S_100,0.7,,,fx_Eventscene_camera_recording,rec,True,
s002_11_4,s002_11,Speech,mana,mana,Locale_SideStory:s002_11_4,True,,1,surprise,,S_100,S_100,1.0,,,,,,
s002_11_5,s002_11,Speech,mana,mana,Locale_SideStory:s002_11_5,True,,1,surprise,,S_100,S_100,1.0,,,,,,
s002_11_6,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_6,True,,1,surprise,,S_100,S_10,1.0,,,,,,
s002_11_7,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_7,False,,1,surprise,,S_10,S_10,1.0,,,,,,
s002_11_8,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_8,True,,1,think,,S_10,S_10,1.0,,,,,,
s002_11_9,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_9,False,,1,think,,S_10,S_10,1.0,,,,,,
s002_11_10,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_10,True,,1,think,,S_10,S_10,1.0,,,,,,
s002_11_11,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_11,True,,1,think,,S_10,S_10,1.0,,,,,,
s002_11_12,s002_11,Speech,mana,mana,Locale_SideStory:s002_11_12,True,,1,think,,S_10,S_10,1.0,,,,,,
s002_11_13,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_13,True,,1,surprise,,S_10,S_100,0.7,,,,,,
s002_11_14,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_14,True,,1,surprise,,S_100,S_100,1.0,,,,,,
s002_11_15,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_15,True,,1,think,,S_100,S_100,1.0,,,,,,
s002_11_16,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_16,True,,1,think,,S_100,S_100,1.0,,,,,,
s002_11_17,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_17,True,,1,think,,S_100,S_100,1.0,,,,,,
s002_11_18,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_18,True,,1,think,,S_100,S_100,1.0,,,,,,
s002_11_19,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_19,True,,1,think,,S_100,S_10,1.0,,,,,,
s002_11_20,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_20,True,,1,think,,S_10,S_10,1.0,,,,,,
s002_11_21,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_21,True,,1,think,,S_10,S_100,1.0,,,,,,
s002_11_22,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_22,True,,1,surprise,,S_100,S_100,1.0,,,,,,
s002_11_23,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_23,False,,1,think,,S_100,S_100,1.0,,,,,,
s002_11_24,s002_11,Speech,mana,mana,Locale_SideStory:s002_11_24,True,,1,think,,S_100,S_100,1.0,,,,,,
s002_11_25,s002_11,Speech,mana,mana,Locale_SideStory:s002_11_25,True,,1,think,,S_100,S_100,1.0,,,,,,
s002_11_26,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_26,True,,1,surprise,,S_100,S_10,0.7,,,,,,
s002_11_27,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_27,True,,1,surprise,,S_10,S_10,1.0,,,,,,
s002_11_28,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_28,True,,1,surprise,,S_10,S_10,1.0,,,,,,
s002_11_29,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_29,True,,1,surprise,,S_10,S_10,1.0,,,,,,
s002_11_30,s002_11,Speech,mana,mana,Locale_SideStory:s002_11_30,True,,1,surprise,,S_10,S_10,1.0,,,,,,
s002_11_31,s002_11,Speech,mana,mana,Locale_SideStory:s002_11_31,True,,1,surprise,,S_10,S_10,1.0,,,,,,
s002_11_32,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_32,True,,1,surprise,,S_10,S_10,1.0,,,,,,
s002_11_33,s002_11,Monologue,yuni,,Locale_SideStory:s002_11_33,False,,1,think,,black,black,1.0,,,,,,fx_Eventscene_camera_recording
s002_11_34,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_34,True,,1,think,,S_10,S_10,1.0,,,fx_Eventscene_camera_recording,rec,True,
s002_11_35,s002_11,Monologue,yuni,,Locale_SideStory:s002_11_35,False,,1,surprise,,S_10,S_100,1.0,,,,,,
s002_11_36,s002_11,Speech,yuni,yuni,Locale_SideStory:s002_11_36,True,,1,surprise,,black,black,1.0,,,,,,fx_Eventscene_camera_recording
