id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id,play_sound
s001_15_1,s001_15,Speech,chime,chime,Locale_SideStory:s001_15_1,True,marian_q,1,idle,chime,15,void,crown,13,idle,CrownCastleDiningRoom_d,1315,1315,1.0,bgm_recognition,,,
s001_15_2,s001_15,Speech,chime,chime,Locale_SideStory:s001_15_2,True,,1,idle,,15,void,,13,idle,,1315,1315,1.0,,,,
s001_15_3,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_3,True,,1,idle,,15,void,,13,idle,,1315,1315,1.0,,,,
s001_15_4,s001_15,Speech,chime,chime,Locale_SideStory:s001_15_4,True,,1,idle,,15,void,,13,idle,,1315,1315,1.0,,,,
s001_15_5,s001_15,Speech,chime,chime,Locale_SideStory:s001_15_5,True,,1,idle,,15,void,,13,idle,,1315,1315,1.0,,,,
s001_15_6,s001_15,Speech,chime,chime,Locale_SideStory:s001_15_6,True,,1,idle,,15,void,,13,idle,,1315,1315,1.0,,,,
s001_15_7,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_7,False,,1,void,,15,void,,13,idle,,1,10,0.7,,,,
s001_15_8,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_8,False,,1,void,,15,void,,13,idle,,130,130,1.0,,,,
s001_15_9,s001_15,Speech,chime,chime,Locale_SideStory:s001_15_9,True,,1,void,,15,void,,13,idle,,130,1315,1.0,,,,
s001_15_10,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_10,True,,1,void,,15,void,,13,idle,,1315,1315,1.0,,,,
s001_15_11,s001_15,Speech,chime,chime,Locale_SideStory:s001_15_11,True,,1,void,,15,void,,13,idle,,1315,1315,1.0,,,,
s001_15_12,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_12,True,,1,void,,15,void,,13,idle,,1315,1315,1.0,,,,
s001_15_13,s001_15,Speech,chime,chime,Locale_SideStory:s001_15_13,True,,1,void,,15,void,,13,idle,,1315,1315,1.0,,,,
s001_15_14,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_14,True,,1,idle,,15,void,,13,idle,,1315,113,1.0,none,,,
s001_15_15,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_15,True,,1,idle,,15,void,,13,idle,,113,113,1.0,,,,
s001_15_16,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_16,True,,1,idle,,15,void,,13,idle,,113,113,1.0,bgm_frostpillar,,,
s001_15_17,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_17,True,,1,idle,,15,void,,13,idle,,113,113,1.0,,,,
s001_15_18,s001_15,Speech,chime,chime,Locale_SideStory:s001_15_18,True,,1,idle,,15,void,,13,idle,,XXS_150,XXS_150,1.0,,,,
s001_15_19,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_19,True,,1,idle,,15,void,,13,idle,,10,10,1.0,,,,
s001_15_20,s001_15,Speech,chime,chime,Locale_SideStory:s001_15_20,True,,1,idle,,15,void,,13,idle,,XXS_150,XXS_150,1.0,,,,
s001_15_21,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_21,True,,1,idle,,15,void,,13,idle,,XXS_150,113,1.5,,,,
s001_15_22,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_22,True,,1,void,,15,void,,13,idle,,113,113,1.0,,,,
s001_15_23,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_23,True,,1,void,,15,void,,13,idle,,113,113,1.0,,,,
s001_15_24,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_24,True,,1,void,,15,void,,13,idle,,113,113,1.0,,,,
s001_15_25,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_25,True,,1,void,,15,void,,13,idle,,113,113,1.0,,,,
s001_15_26,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_26,True,,1,void,,15,void,,13,idle,,113,113,1.0,,,,
s001_15_27,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_27,False,,1,void,,15,void,,13,idle,,113,1,1.0,,,,
s001_15_28,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_28,True,,1,void,,15,void,,13,idle,,1,1,1.0,,,,
s001_15_29,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_29,True,,1,void,,15,void,,13,idle,,1,1,1.0,,,,
s001_15_30,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_30,True,,1,idle,,15,void,,13,idle,,1,10,1.0,,,,
s001_15_31,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_31,True,,1,idle,,15,void,,13,idle,,10,130,1.0,,,,
s001_15_32,s001_15,Speech,crown,crown,Locale_SideStory:s001_15_32,True,,1,idle,,15,void,,13,idle,,130,130,1.0,,,,
s001_15_33,s001_15,Speech,chime,chime,Locale_SideStory:s001_15_33,True,,1,idle,,15,void,,13,idle,,130,XXS_150,1.0,,,,
s001_15_34,s001_15,Narration,marian_q,,Locale_SideStory:s001_15_34,False,,1,idle,,15,void,,13,idle,,black,black,1.0,,chime,crown,sfx_scn_2peoplewalk
s001_15_35,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_35,False,,1,sad2,,,,,,,,10,10,1.0,,,,
s001_15_36,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_36,True,,1,sad2,,,,,,,,10,10,1.0,,,,
s001_15_37,s001_15,Speech,marian_q,marian_q,Locale_SideStory:s001_15_37,True,,1,sad2,,,,,,,,10,1,1.0,,,,
