stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,close_monster_count,mid_monster_count,far_monster_count,mod_value,target_list/0,wave_data/0/wave_path,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6220951,wave_tower_elysion_011,Campaign,90,5,True,False,point_grd_tower_005,point_fly_tower_005,sbg_tower_005,Tower,Elysion,ibg_tower_001,0,42,0,,1310010111.0,path_grd_mid_small_002,path_fly_mid_elite2_808,,path_grd_mid_small_008,7.0,path_fly_mid_small_050,0.0,path_fly_mid_elite2_808,8.0,path_grd_mid_small_043,,,,,,,,,,2220020111,Dash,2220020111.0,Dash,2220020111.0,Dash,2220020111.0,Dash,1210020111.0,Dash,3210020111.0,Dash,1210060111.0,Dash,1310010211.0,Dash,2220020111.0,Drop,2220020111.0,Drop,2220020111.0,Drop,2220020111.0,Drop,3210020111.0,Dash,3210020111.0,Dash,3210020111.0,Dash,1210060111.0,Dash,3210020111.0,Dash,3210020111.0,Dash,1310010111.0,Drop,1210060111.0,Dash,2220020111.0,Drop,2220020111.0,Drop,2220020111.0,Drop,2220020111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6220952,wave_tower_elysion_011,Campaign,90,5,True,False,point_grd_tower_002,point_fly_tower_002,sbg_tower_002,Tower,Elysion,ibg_tower_001,0,18,18,,1320010111.0,path_fly_mid_small_042,path_grd_far_elite1_803,,path_grd_mid_small_008,8.0,path_grd_far_elite1_803,0.0,path_fly_mid_small_036,10.0,,,,,,,,,,,3210020111,Drop,3210020111.0,Drop,3210020111.0,Drop,1210050111.0,Drop,1220030111.0,Dash,1220030111.0,Dash,2220040111.0,Drop,3320020211.0,Drop,3220070111.0,Drop,1220060111.0,Drop,1220060111.0,Drop,3220070111.0,Drop,1220060111.0,Dash,1220060111.0,Dash,2220040111.0,Drop,1320010111.0,Drop,3210020111.0,Drop,3210020111.0,Drop,1210050111.0,Drop,1210050111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6220953,wave_tower_elysion_011,BaseDefense,60,6,True,True,point_grd_tower_003_midclear,point_fly_tower_003,sbg_tower_003_midclear,Tower,Elysion,ibg_tower_basedefense_001,0,63,0,normal,,path_grd_mid_small_052,path_fly_mid_small_050,,path_grd_mid_small_011,,path_grd_mid_elite1_802,3.0,path_fly_mid_small_033,8.0,path_grd_mid_special_065,,path_grd_mid_small_076,4.0,path_grd_mid_elite1_802,7.0,,,,,2220030111,Drop,2220030111.0,Drop,2220030111.0,Drop,2220030111.0,Drop,1220040111.0,Drop,1220040111.0,Drop,1220040111.0,Drop,3210030111.0,Normal,2220030111.0,Jump,2220030111.0,Jump,2220030111.0,Jump,2220030111.0,Jump,2220030111.0,Dash,1220040111.0,Dash,2120010111.0,Dash,3320070211.0,Drop,1220040111.0,Drop,1220040111.0,Drop,3210030111.0,Dash,3210030111.0,Dash,3120010111.0,Jump,1220040111.0,Jump,2220030111.0,Jump,2220030111.0,Jump,1220040111.0,Drop,1220040111.0,Drop,1220040111.0,Drop,1220040111.0,Drop,2220030111.0,Dash,1220040111.0,Dash,2220030111.0,Drop,3320070211.0,Drop,,,,,,,,,,,,,,,,
6220954,wave_tower_elysion_011,Campaign,90,5,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Elysion,ibg_tower_001,0,42,0,,2320010111.0,path_grd_mid_small_002,path_fly_mid_small_050,,path_grd_mid_elite1_802,8.0,path_grd_mid_elite2_808,0.0,path_fly_mid_small_050,10.0,path_grd_mid_small_043,7.0,,,,,,,,,3220040111,Dash,3220040111.0,Dash,3220040111.0,Dash,3220040111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210030111.0,Dash,3220040111.0,Drop,3220040111.0,Drop,3220060111.0,Drop,2320010211.0,Drop,3220040111.0,Dash,3220060111.0,Dash,1320030211.0,Drop,2320010111.0,Drop,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210030111.0,Dash,3220040111.0,Drop,3220060111.0,Drop,3220040111.0,Drop,3220060111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6220955,wave_tower_elysion_011,Campaign,90,7,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Elysion,ibg_tower_001,0,54,0,,1320060111.0,path_grd_mid_small_034,path_fly_mid_small_042,,path_fly_mid_elite3_814,10.0,path_grd_mid_small_005,,path_fly_mid_elite1_802,0.0,path_grd_mid_elite1_802,10.0,path_fly_mid_elite3_814,6.0,,,,,,,2220040111,Drop,2220010111.0,Dash,2220010111.0,Dash,1320060211.0,Dash,2210010111.0,Dash,2210010111.0,Dash,3210040111.0,Drop,2310070211.0,Drop,2210010111.0,Drop,3210040111.0,Drop,3210040111.0,Drop,3210040111.0,Drop,2220010111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,2210010111.0,Dash,2210010111.0,Dash,3210040111.0,Drop,2310070211.0,Drop,2220010111.0,Dash,2220010111.0,Dash,2220040111.0,Drop,1320060111.0,Drop,2210010111.0,Drop,3210040111.0,Drop,3210040111.0,Drop,3210040111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,
6220956,wave_tower_elysion_011,Campaign,90,5,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Elysion,ibg_tower_001,0,42,0,,1310030111.0,path_grd_mid_small_052,path_fly_mid_elite1_802,,path_fly_mid_small_050,8.0,path_fly_mid_elite2_805,0.0,path_grd_mid_small_052,8.0,path_fly_mid_small_050,7.0,,,,,,,,,2220030111,Drop,2220030111.0,Drop,2220030111.0,Drop,2220030111.0,Drop,3210020111.0,Dash,3210020111.0,Dash,1210040111.0,Drop,1310030211.0,Drop,3210020111.0,Dash,3210020111.0,Dash,3210020111.0,Dash,1210040111.0,Dash,3210020111.0,Drop,3210020111.0,Drop,1310010211.0,Drop,1310030111.0,Drop,2220030111.0,Drop,2220030111.0,Drop,2220030111.0,Drop,2220030111.0,Drop,3210020111.0,Dash,3210020111.0,Dash,3210020111.0,Dash,1210040111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6220957,wave_tower_elysion_011,Defense,90,7,True,True,point_grd_tower_002_rightclear,point_fly_tower_002_rightclear,sbg_tower_002_rightclear,Tower,Elysion,ibg_tower_defense_001,0,51,27,20,,path_grd_far_small_044,path_grd_mid_special_025,8.0,path_grd_far_small_038,10.0,path_grd_mid_elite1_802,2.0,path_grd_far_small_053,12.0,path_grd_mid_special_025,10.0,path_grd_mid_small_075,10.0,path_grd_far_elite1_803,,path_grd_mid_small_037,15.0,,,3220050111,Normal,3220060111.0,Dash,3220050111.0,Normal,3220060111.0,Dash,3120010111.0,Drop,3220050111.0,Drop,3220060111.0,Dash,3220020111.0,Dash,3220050111.0,Normal,3220020111.0,Drop,3220050111.0,Normal,3220020111.0,Drop,3220050111.0,Dash,3220060111.0,Dash,3220020111.0,Drop,2320060211.0,Normal,3220020111.0,Drop,3220050111.0,Normal,3220020111.0,Drop,3220050111.0,Normal,2120010111.0,Jump,2120010111.0,Jump,3220020111.0,Normal,3220020111.0,Normal,3220050111.0,Jump,3220020111.0,Jump,3220050111.0,Jump,3220020111.0,Jump,3220050111.0,Normal,3220060111.0,Dash,3220020111.0,Drop,2320060211.0,Normal,3220050111.0,Normal,3220050111.0,Dash,3220020111.0,Dash,2320010211.0,Normal,,,,,,,,
6220958,wave_tower_elysion_011,Campaign,90,7,True,False,point_grd_tower_005,point_fly_tower_005,sbg_tower_005,Tower,Elysion,ibg_tower_001,0,42,0,,2310040111.0,path_grd_mid_small_002,path_fly_mid_elite1_802,6.0,path_fly_mid_small_005,8.0,path_fly_mid_elite2_805,0.0,path_grd_mid_small_043,10.0,path_fly_mid_small_024,,,,,,,,,,3220010111,Jump,3220010111.0,Jump,3220010111.0,Jump,3220010111.0,Jump,3210010111.0,Dash,3210010111.0,Dash,1210040111.0,Drop,2310040211.0,Drop,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,2310060211.0,Drop,2310040111.0,Drop,3220010111.0,Jump,3220010111.0,Jump,3220010111.0,Jump,3220010111.0,Jump,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6220959,wave_tower_elysion_011,Campaign,90,7,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Elysion,ibg_tower_001,0,69,0,,1310020111.0,path_grd_mid_small_034,path_grd_mid_elite3_811,3.0,path_fly_mid_small_005,12.0,path_fly_mid_small_008,10.0,path_grd_mid_special_025,0.0,path_fly_mid_elite2_808,10.0,path_grd_mid_small_073,8.0,path_fly_mid_small_021,,path_fly_mid_small_002,,,,2220010111,Drop,2220010111.0,Drop,2220010111.0,Drop,2220050111.0,Drop,3220040111.0,Dash,2320030211.0,Dash,2320030211.0,Drop,2320030211.0,Drop,1210050111.0,Drop,1210040111.0,Drop,1210050111.0,Drop,1210040111.0,Drop,2210010111.0,Dash,1210050111.0,Drop,2210010111.0,Dash,1210050111.0,Drop,3220040111.0,Dash,2220010111.0,Dash,3220050111.0,Dash,2320030211.0,Dash,3210010111.0,Dash,1210050111.0,Drop,1310030211.0,Drop,1310020111.0,Drop,2220010111.0,Dash,2220010111.0,Dash,3220020111.0,Dash,2320030211.0,Dash,3210010111.0,Dash,1210050111.0,Drop,3210010111.0,Dash,1210050111.0,Drop,3210040111.0,Drop,1210050111.0,Drop,3210040111.0,Drop,1210050111.0,Drop,,,,,,,,
6220960,wave_tower_elysion_011,Campaign,180,6,False,False,point_grd_swamplandjungle_002_midclear,point_fly_swamplandjungle_002,sbg_swamplandjungle_002_midclear,SwamplandJungle,Day,ibg_swamplandjungle_001,0,0,1,,1410030111.0,path_fly_far_centurion_903,,,,,,,,,,,,,,,,,,,1410030111,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
