stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_path,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/6/private_monster_count,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6500401,wave_eventdungeon_002,Campaign,90,5,True,False,point_grd_iceland_002,point_fly_iceland_002,sbg_iceland_002,IceLand,Day,ibg_iceland_001,1320040121,path_grd_close_small_001,1220020121,Drop,1220020121.0,Drop,1220030121.0,Dash,1220030121.0,Dash,path_grd_mid_elite1_802,7.0,1120010121,Jump,1120010121,Jump,1220020121,Drop,2320050221,Drop,path_fly_mid_small_053,6.0,1210020121,Dash,1210020121,Dash,1210020121,Dash,1210040121,Dash,path_grd_mid_special_065,0.0,1120010121,Dash,1120010121,Dash,1220030121,Drop,1320040121,Drop,path_grd_far_small_071,11.0,1220040121,Dash,1220040121,Dash,1220040121,Dash,3220020121,Dash,0,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500402,wave_eventdungeon_002,Campaign,90,5,True,False,point_grd_iceland_006,point_fly_iceland_006,sbg_iceland_006,IceLand,Day,ibg_iceland_001,3320020121,path_grd_close_small_051,3220050121,Dash,3220050121.0,Dash,3220050121.0,Dash,3220050121.0,Dash,path_grd_mid_elite1_802,7.0,3120010121,Jump,3120010121,Jump,3220070121,Drop,3320020221,Drop,path_grd_mid_small_049,4.0,3220050121,Drop,3220070121,Drop,3220050121,Drop,3220070121,Drop,path_grd_close_small_042,11.0,3120010121,Dash,3120010121,Dash,3120010121,Dash,3120010121,Dash,path_grd_mid_elite1_802,0.0,3220050121,Dash,3220050121,Dash,3220070121,Drop,3320020121,Drop,18,24,0,path_grd_close_small_069,5.0,3220050121.0,Dash,3220050121.0,Dash,3220050121.0,Dash,2220040121.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500403,wave_eventdungeon_002,Campaign,90,5,True,False,point_grd_iceland_003,point_fly_iceland_003,sbg_iceland_003,IceLand,Day,ibg_iceland_001,1310020121,path_fly_mid_small_018,3210010121,Drop,3210010121.0,Drop,2110010121.0,Dash,2110010121.0,Dash,path_fly_close_small_029,6.0,2210010121,Drop,2210010121,Drop,2210010121,Drop,1310030221,Drop,path_grd_close_small_013,,2220020121,Dash,2220020121,Dash,2220020121,Dash,2220020121,Dash,path_fly_close_elite1_801,0.0,3210010121,Dash,3210010121,Dash,2210010121,Drop,1310020121,Drop,path_fly_mid_small_039,7.0,2210010121,Dash,2210010121,Dash,2210010121,Dash,2210010121,Dash,21,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500404,wave_eventdungeon_002,Campaign,90,5,True,False,point_grd_iceland_004,point_fly_iceland_004,sbg_iceland_004,IceLand,Day,ibg_iceland_001,2320020121,path_grd_mid_small_068,3220050121,Dash,3220050121.0,Dash,3220070121.0,Drop,3320050221.0,Drop,path_grd_mid_small_043,7.0,3220070121,Dash,3220070121,Dash,3220050121,Dash,3220050121,Dash,path_grd_close_small_048,,3220050121,Drop,3220050121,Drop,3220050121,Drop,3220050121,Drop,path_grd_mid_elite1_802,0.0,3220050121,Dash,3220050121,Dash,3220070121,Drop,2320020121,Drop,path_grd_mid_small_049,11.0,3220050121,Drop,3220070121,Drop,3220050121,Drop,3220070121,Drop,6,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500405,wave_eventdungeon_002,Campaign,90,5,True,False,point_grd_iceland_007,point_fly_iceland_007,sbg_iceland_007,IceLand,Day,ibg_iceland_001,3320010121,path_fly_far_small_040,1210020121,Dash,1210020121.0,Dash,1210020121.0,Dash,1210020121.0,Dash,path_grd_mid_elite1_802,6.0,1220020121,Jump,1220020121,Jump,1220020121,Jump,2320010221,Jump,path_fly_mid_small_050,,2210010121,Drop,2210010121,Drop,2210010121,Drop,3210030121,Drop,path_grd_far_elite1_803,0.0,1220020121,Jump,1220020121,Jump,2220040121,Drop,3320010121,Drop,path_fly_mid_special_047,6.0,1210020121,Dash,1210020121,Dash,2210010121,Drop,2210010121,Drop,0,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500406,wave_eventdungeon_002,Campaign,90,5,True,False,point_grd_iceland_002,point_fly_iceland_002,sbg_iceland_002,IceLand,Day,ibg_iceland_001,3320040121,path_grd_close_small_042,1220010121,Dash,1220010121.0,Dash,1220010121.0,Dash,1220010121.0,Dash,path_grd_mid_elite1_802,6.0,1220010121,Jump,1220010121,Jump,3220020121,Drop,3320010221,Drop,path_grd_close_special_064,7.0,1220010121,Dash,1220010121,Dash,1220050121,Drop,1220050121,Drop,path_grd_mid_special_025,0.0,1220010121,Jump,1220010121,Jump,2220040121,Drop,3320040121,Drop,path_grd_close_small_042,8.0,1220050121,Dash,1220050121,Dash,1220050121,Dash,1220050121,Dash,0,55,2,path_grd_mid_small_012,,1220010121.0,Dash,1220010121.0,Dash,1220010121.0,Dash,1220010121.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500407,wave_eventdungeon_002,Campaign,90,5,True,False,point_grd_iceland_006,point_fly_iceland_006,sbg_iceland_006,IceLand,Day,ibg_iceland_001,1320030121,path_grd_mid_elite1_802,2220030121,Jump,2220030121.0,Jump,2220040121.0,Dash,1320030221.0,Dash,path_grd_far_small_044,7.0,2220030121,Dash,2220030121,Dash,2220030121,Dash,2220030121,Dash,path_fly_mid_small_053,4.0,2210010121,Jump,2210010121,Jump,2210010121,Jump,3210030121,Dash,path_grd_far_elite1_803,0.0,2220030121,Jump,2220030121,Jump,2220040121,Drop,1320030121,Drop,path_grd_mid_small_011,6.0,2220030121,Jump,2220030121,Jump,2220030121,Jump,2220030121,Jump,0,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500408,wave_eventdungeon_002,Campaign,90,5,True,False,point_grd_iceland_003,point_fly_iceland_003,sbg_iceland_003,IceLand,Day,ibg_iceland_001,3310020121,path_fly_close_small_029,3210020121,Drop,3210020121.0,Drop,3210020121.0,Drop,2310020221.0,Drop,path_grd_mid_small_037,7.0,3220010121,Dash,3220010121,Jump,3220010121,Dash,1220050121,Jump,path_grd_mid_small_040,7.0,3220010121,Dash,3220010121,Jump,3220010121,Dash,1220050121,Jump,path_fly_mid_special_016,0.0,3110010121,Drop,3110010121,Drop,3210020121,Drop,3310020121,Drop,path_grd_mid_small_012,7.0,3220010121,Dash,3220010121,Dash,3220010121,Dash,2220040121,Dash,6,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500409,wave_eventdungeon_002,Campaign,90,5,True,False,point_grd_iceland_007,point_fly_iceland_007,sbg_iceland_007,IceLand,Day,ibg_iceland_001,3320070121,path_grd_mid_small_002,2220030121,Jump,2220030121.0,Jump,2220030121.0,Dash,2220040121.0,Dash,path_grd_mid_elite1_802,7.0,2220030121,Dash,2220030121,Dash,2220030121,Dash,3320070221,Dash,path_grd_far_small_053,,2220030121,Dash,2220030121,Dash,2220030121,Dash,2220030121,Dash,path_grd_mid_elite1_802,0.0,2220030121,Dash,2220030121,Dash,2220040121,Drop,3320070121,Drop,path_grd_far_small_044,,2220030121,Dash,2220030121,Dash,2220030121,Dash,2220030121,Dash,0,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500410,wave_eventdungeon_002,Campaign,90,5,True,False,point_grd_iceland_002,point_fly_iceland_002,sbg_iceland_002,IceLand,Day,ibg_iceland_001,3320060121,path_grd_close_small_007,2220020121,Drop,2220020121.0,Drop,1220050121.0,Drop,1320030221.0,Drop,path_fly_mid_small_036,4.0,2210020121,Dash,2210020121,Dash,2210020121,Dash,2210020121,Dash,path_fly_close_special_044,6.0,3210040121,Drop,3210040121,Drop,3210010121,Drop,3210030121,Drop,path_grd_mid_elite1_802,0.0,2120010121,Dash,2120010121,Dash,1220050121,Drop,3320060121,Drop,path_fly_close_special_046,6.0,2110010121,Dash,2110010121,Dash,3210040121,Drop,3210040121,Drop,36,21,0,path_fly_close_small_035,3.0,3210040121.0,Dash,3210040121.0,Dash,3210040121.0,Dash,3210040121.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
