stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,close_monster_count,mid_monster_count,far_monster_count,mod_value,target_list/0,wave_data/0/wave_path,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6220401,wave_tower_elysion_006,Campaign,90,5,True,False,point_grd_tower_005,point_fly_tower_005,sbg_tower_005,Tower,Elysion,ibg_tower_001,0,18,18,,3320020111.0,path_grd_mid_small_055,path_grd_far_elite1_803,7.0,path_fly_mid_small_030,,path_grd_far_elite1_803,0.0,path_grd_mid_small_043,6.0,,,,,,,,,,,1220060111,Drop,1220060111.0,Drop,1220060111.0,Drop,2220040111.0,Drop,1220060111.0,Dash,1220060111.0,Dash,3220070111.0,Dash,1320010211.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3210020111.0,Dash,3210020111.0,Dash,3220040111.0,Dash,3220040111.0,Dash,2220040111.0,Drop,3320020111.0,Drop,1220060111.0,Jump,1220060111.0,Jump,1220060111.0,Jump,3220020111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6220402,wave_tower_elysion_006,Campaign,90,5,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Elysion,ibg_tower_001,42,6,0,,2320050111.0,path_grd_close_small_048,path_grd_close_small_069,,path_fly_mid_small_039,4.0,path_grd_close_elite1_801,0.0,path_grd_close_special_064,6.0,path_grd_close_small_042,3.0,,,,,,,,,1220040111,Drop,1220040111.0,Drop,1220040111.0,Drop,2320050211.0,Drop,1220040111.0,Dash,1220040111.0,Dash,1220040111.0,Dash,1220050111.0,Drop,3210040111.0,Dash,3210040111.0,Dash,3210040111.0,Dash,3210040111.0,Dash,3120010111.0,Dash,3120010111.0,Dash,1220050111.0,Drop,2320010211.0,Drop,2120010111.0,Dash,2120010111.0,Dash,1220050111.0,Drop,2320050111.0,Drop,1220050111.0,Dash,1220050111.0,Dash,1220050111.0,Dash,1220050111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6220403,wave_tower_elysion_006,Campaign,90,7,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Elysion,ibg_tower_001,0,48,0,,1320060111.0,path_fly_mid_small_036,path_grd_mid_elite1_802,7.0,path_grd_mid_small_058,7.0,path_fly_mid_small_030,8.0,path_fly_mid_small_050,0.0,path_grd_mid_elite1_802,,path_grd_mid_small_012,5.0,,,,,,,2210010111,Dash,2210010111.0,Dash,2210010111.0,Jump,3210030111.0,Jump,2220030111.0,Dash,2220030111.0,Dash,3220020111.0,Dash,2320050211.0,Jump,2220010111.0,Dash,3220050111.0,Dash,3220050111.0,Dash,2220040111.0,Dash,1210010111.0,Dash,1210010111.0,Dash,3210030111.0,Drop,1210010111.0,Dash,1210030111.0,Jump,1210030111.0,Jump,1210030111.0,Jump,2310050211.0,Jump,2220030111.0,Jump,2220030111.0,Jump,2220040111.0,Drop,1320060111.0,Drop,1220060111.0,Dash,1220060111.0,Dash,1220060111.0,Dash,1220060111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,
6220404,wave_tower_elysion_006,Campaign,90,7,True,False,point_grd_tower_002,point_fly_tower_002,sbg_tower_002,Tower,Elysion,ibg_tower_001,6,42,0,,1310010111.0,path_grd_mid_small_002,path_fly_mid_elite1_802,5.0,path_fly_mid_small_024,8.0,path_fly_mid_elite2_805,0.0,path_fly_close_small_020,9.0,path_grd_mid_small_043,5.0,path_fly_mid_small_042,8.0,,,,,,,3220040111,Dash,3220040111.0,Dash,3220040111.0,Dash,3220040111.0,Dash,3210010111.0,Drop,3210010111.0,Drop,3210050111.0,Drop,2310060211.0,Drop,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Drop,3210010111.0,Drop,2310060211.0,Drop,1310010111.0,Drop,3210050111.0,Drop,3210010111.0,Drop,3210010111.0,Drop,3210010111.0,Drop,3220040111.0,Dash,3220040111.0,Dash,3220040111.0,Dash,3220040111.0,Dash,3210050111.0,Drop,3220040111.0,Drop,3220040111.0,Drop,3220040111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,
6220405,wave_tower_elysion_006,Defense,90,8,True,True,point_grd_tower_002_rightclear,point_fly_tower_002_rightclear,sbg_tower_002_rightclear,Tower,Elysion,ibg_tower_defense_001,12,60,0,20,,path_grd_mid_elite1_802,path_grd_close_small_067,12.0,path_grd_mid_special_025,10.0,path_fly_close_small_004,,path_grd_mid_elite2_805,3.0,path_fly_mid_small_030,12.0,path_fly_mid_small_005,,path_grd_mid_small_076,10.0,path_fly_mid_elite2_808,,,,1220060111,Normal,1220060111.0,Normal,2220040111.0,Drop,1320060211.0,Drop,3220050111.0,Dash,3220050111.0,Dash,3220020111.0,Normal,3220020111.0,Normal,2120010111.0,Jump,2120010111.0,Jump,1220060111.0,Dash,2220040111.0,Dash,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,3220050111.0,Drop,3220050111.0,Drop,1320060211.0,Drop,1320060111.0,Normal,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,2310030211.0,Dash,2210020111.0,Dash,2210020111.0,Dash,2210020111.0,Dash,2210020111.0,Dash,3220050111.0,Jump,3220050111.0,Jump,2220040111.0,Jump,2220040111.0,Jump,1210020111.0,Drop,1210020111.0,Drop,3310050211.0,Drop,3310050211.0,Drop,,,,,,,,
6220406,wave_tower_elysion_006,Campaign,90,5,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Elysion,ibg_tower_001,0,36,0,,2310050111.0,path_grd_mid_small_070,path_fly_mid_elite2_808,7.0,path_grd_mid_small_058,7.0,path_fly_mid_elite1_802,0.0,path_grd_mid_small_040,6.0,,,,,,,,,,,1220010111,Dash,1220010111.0,Dash,1220010111.0,Jump,2220050111.0,Jump,1210010111.0,Dash,2210040111.0,Dash,1210010111.0,Dash,3210030111.0,Dash,3220030111.0,Dash,3220030111.0,Dash,3220030111.0,Dash,2220040111.0,Dash,2210020111.0,Dash,2210020111.0,Dash,1210010111.0,Drop,2310050111.0,Drop,2220020111.0,Dash,3220060111.0,Jump,2220020111.0,Dash,3220060111.0,Jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6220407,wave_tower_elysion_006,Campaign,90,7,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Elysion,ibg_tower_001,12,45,15,,3310040111.0,path_grd_close_small_004,path_fly_mid_special_016,,path_grd_mid_special_025,10.0,path_fly_far_special_045,0.0,path_grd_close_small_048,9.0,path_grd_mid_special_065,8.0,,,,,,,,,2220010111,Jump,1120010111.0,Jump,2220010111.0,Jump,1120010111.0,Jump,3110010111.0,Drop,3210020111.0,Drop,3210030111.0,Drop,3310040211.0,Drop,2220010111.0,Jump,1120010111.0,Jump,2220030111.0,Jump,2220040111.0,Jump,3110010111.0,Drop,3210020111.0,Drop,3210030111.0,Drop,3310040111.0,Drop,3220020111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,2220010111.0,Drop,2220030111.0,Drop,1120010111.0,Drop,3220020111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6220408,wave_tower_elysion_006,Campaign,90,7,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Elysion,ibg_tower_001,6,42,0,,1310010111.0,path_grd_mid_small_002,path_fly_mid_elite1_802,5.0,path_fly_mid_small_024,8.0,path_fly_mid_elite2_805,0.0,path_fly_close_small_020,9.0,path_grd_mid_small_043,5.0,path_fly_mid_small_042,8.0,,,,,,,3220040111,Dash,3220040111.0,Dash,3220040111.0,Dash,3220040111.0,Dash,3210010111.0,Drop,3210010111.0,Drop,3210050111.0,Drop,2310060211.0,Drop,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Dash,3210010111.0,Drop,3210010111.0,Drop,2310060211.0,Drop,1310010111.0,Drop,3210050111.0,Drop,3210010111.0,Drop,3210010111.0,Drop,3210010111.0,Drop,3220040111.0,Dash,3220040111.0,Dash,3220040111.0,Dash,3220040111.0,Dash,3210050111.0,Drop,3220040111.0,Drop,3220040111.0,Drop,3220040111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,
6220409,wave_tower_elysion_006,Defense,90,8,True,True,point_grd_tower_002_rightclear,point_fly_tower_002_rightclear,sbg_tower_002_rightclear,Tower,Elysion,ibg_tower_defense_001,0,63,0,20,,path_fly_mid_elite1_802,path_grd_mid_small_070,10.0,path_fly_mid_small_005,,path_grd_mid_small_061,4.0,path_fly_mid_elite2_805,5.0,path_fly_mid_small_027,8.0,path_grd_mid_small_061,,path_grd_mid_small_075,,path_fly_mid_elite2_805,10.0,,,1210030111,Dash,1210030111.0,Dash,1210040111.0,Dash,1310020211.0,Dash,1220060111.0,Dash,1220060111.0,Dash,1220060111.0,Dash,2220050111.0,Normal,1210020111.0,Dash,3210050111.0,Dash,1210030111.0,Dash,3210050111.0,Dash,1220060111.0,Drop,1220060111.0,Drop,1220060111.0,Drop,1220060111.0,Drop,1210030111.0,Drop,1210020111.0,Drop,2310060211.0,Drop,1310020111.0,Drop,3210050111.0,Dash,1210020111.0,Normal,1210020111.0,Dash,2310060211.0,Dash,1220060111.0,Drop,1220060111.0,Drop,1220060111.0,Drop,1220060111.0,Drop,1220060111.0,Drop,1220060111.0,Drop,1220060111.0,Drop,2220050111.0,Drop,1210030111.0,Drop,1210020111.0,Drop,2310060211.0,Drop,1310020211.0,Drop,,,,,,,,
6220410,wave_tower_elysion_006,Campaign,180,5,False,False,point_grd_ultra_01,point_fly_ultra_01,sbg_desertbbg006_001,Desert,Twilight,ibg_desert_001,1,0,0,,1520460141.0,b_g_ultra_01,,,,,,,,,,,,,,,,,,,1520460141,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
