id,fishing_manager_id,group_id,is_rare_spot,open_condition,open_condition_value,spawn_day_start,spawn_day_end,catchable_group_list/0/catchable_group_id,catchable_group_list/1/catchable_group_id,catchable_group_list/2/catchable_group_id,catchable_group_list/3/catchable_group_id,catchable_group_list/4/catchable_group_id,catchable_group_list/5/catchable_group_id,catchable_group_list/6/catchable_group_id,catchable_group_list/7/catchable_group_id,catchable_group_list/8/catchable_group_id,catchable_group_list/9/catchable_group_id,casting_id,is_infinity,catchable_count,spot_fish_effect_resource,spot_outline_effect_resource,small_fishing_ratio,mid_fishing_ratio,large_fishing_ratio,camera_zoom_in
10101,1,1,False,StageClear,105110105,1,3,1,2,6,35,37,64,0,0,0,0,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
10103,1,1,False,StageClear,105110105,4,5,1,2,6,35,37,64,36,20,51,0,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
10105,1,1,False,StageClear,105110105,6,22,1,2,6,35,37,64,36,20,51,59,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
10201,1,1,False,StageClear,105110105,1,3,12,15,16,45,68,0,0,0,0,0,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
10203,1,1,False,StageClear,105110105,4,5,12,15,16,45,68,20,36,0,0,0,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
10205,1,1,False,StageClear,105110105,6,22,12,15,16,45,68,20,36,42,59,70,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
10303,1,1,False,StageClear,105110105,4,5,4,20,6,12,35,27,60,51,0,0,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
10305,1,1,False,StageClear,105110105,6,22,4,20,6,12,35,27,60,51,42,70,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
10401,1,1,False,StageClear,105110105,1,3,23,6,60,35,62,0,0,0,0,0,2001,False,5,fishing_rare_spot_fish_effect,fishing_rare_spot_outline_effect,4500,3500,2000,150
10403,1,1,False,StageClear,105110105,4,5,23,6,60,35,4,62,0,0,0,0,2001,False,5,fishing_rare_spot_fish_effect,fishing_rare_spot_outline_effect,4500,3500,2000,150
10405,1,1,False,StageClear,105110105,6,22,23,6,60,35,4,62,46,74,59,70,2001,False,5,fishing_rare_spot_fish_effect,fishing_rare_spot_outline_effect,4500,3500,2000,150
20101,1,1,False,StageClear,105110105,1,3,18,1,43,37,45,64,68,0,0,0,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
20103,1,1,False,StageClear,105110105,4,5,18,1,43,37,45,64,68,13,56,0,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
20105,1,1,False,StageClear,105110105,6,22,18,1,43,37,45,64,68,13,56,61,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
20201,1,1,False,StageClear,105110105,1,3,15,16,37,60,62,0,0,0,0,0,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
20203,1,1,False,StageClear,105110105,4,5,15,16,37,60,62,31,8,0,0,0,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
20205,1,1,False,StageClear,105110105,6,22,15,16,37,60,62,31,8,29,55,66,1001,False,5,fishing_spot_fish_effect_02,fishing_spot_outline_effect_02,5000,4000,1000,150
