id,event_type,scaling_type,difficulty_condition_type,difficulty_condition_value,chapter_condition_type,chapter_condition_value,weight,spot_autocontrol,monster_stage_lv,dynamic_object_stage_lv,standard_battle_power,stage_stat_increase_group_id,is_use_quick_battle,spot_id,use_oc_mode,use_season_id,battle_event_group
111011101,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400001,False,0,0
111011102,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400002,False,0,0
111011103,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400003,False,0,0
111011104,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400004,False,0,0
111011105,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400005,False,0,0
111011106,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400006,False,0,0
111011107,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400008,False,0,0
111011108,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400011,False,0,0
111011109,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400012,False,0,0
111011110,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400014,False,0,0
111011111,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400015,False,0,0
111011112,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400016,False,0,0
111011113,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400017,False,0,0
111011114,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6400018,False,0,0
111011115,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401001,False,0,0
111011116,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401002,False,0,0
111011117,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401003,False,0,0
111011118,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401004,False,0,0
111011119,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401005,False,0,0
111011120,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401006,False,0,0
111011121,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401008,False,0,0
111011122,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401011,False,0,0
111011123,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401012,False,0,0
111011124,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401014,False,0,0
111011125,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401015,False,0,0
111011126,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401016,False,0,0
111011127,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401017,False,0,0
111011128,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6401018,False,0,0
111011129,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402001,False,0,0
111011130,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402002,False,0,0
111011131,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402003,False,0,0
111011132,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402004,False,0,0
111011133,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402005,False,0,0
111011134,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402006,False,0,0
111011135,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402008,False,0,0
111011136,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402011,False,0,0
111011137,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402012,False,0,0
111011138,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402014,False,0,0
111011139,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402015,False,0,0
111011140,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402016,False,0,0
111011141,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402017,False,0,0
111011142,NormalBattle,DataRef,Range,1,Range,1,10000,True,2,2,3620,10000,True,6402018,False,0,0
