id,group_id,main_target,sub_target/0,sub_target/1,sub_target/2,sub_target/3,grade,weight,bubble_type,name_localkey,description_localkey,parameter_localkey/0,resource_id,function_type,buff_value/0/function_value_level,buff_value/0/battle_power_level,buff_value/1/function_value_level,buff_value/1/battle_power_level,buff_value/2/function_value_level,buff_value/2/battle_power_level,buff_value/3/function_value_level,buff_value/3/battle_power_level,buff_value/4/function_value_level,buff_value/4/battle_power_level,parameter_localkey/1
1010101,10101,Attack,SG,SMG,AR,MG,R,10000,Type_A,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020111,192,6020112,384,6020113,576,6020114,768,6020115,960,
1010102,10101,Attack,SG,SMG,AR,MG,R,10000,Type_B,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020111,192,6020112,384,6020113,576,6020114,768,6020115,960,
1010103,10101,Attack,SG,SMG,AR,MG,R,10000,Type_C,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020111,192,6020112,384,6020113,576,6020114,768,6020115,960,
1010104,10101,Attack,SG,SMG,AR,MG,R,10000,Type_D,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020111,192,6020112,384,6020113,576,6020114,768,6020115,960,
1010105,10101,Attack,SG,SMG,AR,MG,SR,10000,Type_A,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020121,384,6020122,576,6020123,768,6020124,960,6020125,1152,
1010106,10101,Attack,SG,SMG,AR,MG,SR,10000,Type_B,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020121,384,6020122,576,6020123,768,6020124,960,6020125,1152,
1010107,10101,Attack,SG,SMG,AR,MG,SR,10000,Type_C,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020121,384,6020122,576,6020123,768,6020124,960,6020125,1152,
1010108,10101,Attack,SG,SMG,AR,MG,SR,10000,Type_D,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020121,384,6020122,576,6020123,768,6020124,960,6020125,1152,
1010109,10101,Attack,SG,SMG,AR,MG,SSR,10000,Type_A,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020131,576,6020132,768,6020133,960,6020134,1152,6020135,1344,
1010110,10101,Attack,SG,SMG,AR,MG,SSR,10000,Type_B,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020131,576,6020132,768,6020133,960,6020134,1152,6020135,1344,
1010111,10101,Attack,SG,SMG,AR,MG,SSR,10000,Type_C,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020131,576,6020132,768,6020133,960,6020134,1152,6020135,1344,
1010112,10101,Attack,SG,SMG,AR,MG,SSR,10000,Type_D,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_NAME,Locale_Skill:SIMULATIONROOM_BUFF_FocusScope_DESC,Locale_System:SIMULATIONROOM_BUFF_PARAMETER_AccuracyCircle,FocusScope,Function,6020131,576,6020132,768,6020133,960,6020134,1152,6020135,1344,
