id,name_localkey,description_localkey,world,chapter,open_type,chapter_image,hard_chapter_image,field_id,hard_field_id,chapter_guide
1,Locale_Stage:chapter_name_00,Locale_Stage:chapter_description_00,1,0,open,ChapterMap_Image_001,ChapterMap_Image_001,fcbg_cityforest_000,fcbg_cityforest_hard_000,
2,Locale_Stage:chapter_name_01,Locale_Stage:chapter_description_01,1,1,open,ChapterMap_Image_001,ChapterMap_Image_001,fcbg_cityforest_003,fcbg_cityforest_hard_003,
3,Locale_Stage:chapter_name_02,Locale_Stage:chapter_description_02,1,2,open,ChapterMap_Image_002,ChapterMap_Image_002,fcbg_cityforest_001,fcbg_cityforest_hard_001,
4,Locale_Stage:chapter_name_03,Locale_Stage:chapter_description_03,1,3,open,ChapterMap_Image_003,ChapterMap_Image_003,fcbg_cityforest_004,fcbg_cityforest_hard_004,Tutorial
5,Locale_Stage:chapter_name_04,Locale_Stage:chapter_description_04,1,4,open,ChapterMap_Image_004,ChapterMap_Image_004,fcbg_cityforest_002,fcbg_cityforest_hard_002,Common
6,Locale_Stage:chapter_name_05,Locale_Stage:chapter_description_05,1,5,open,ChapterMap_Image_005,ChapterMap_Image_005,fcbg_iceland_001,fcbg_iceland_hard_001,Common
7,Locale_Stage:chapter_name_06,Locale_Stage:chapter_description_06,1,6,open,ChapterMap_Image_006,ChapterMap_Image_006,fcbg_iceland_002,fcbg_iceland_hard_002,Common
8,Locale_Stage:chapter_name_07,Locale_Stage:chapter_description_07,1,7,open,ChapterMap_Image_007,ChapterMap_Image_007,fcbg_iceland_003,fcbg_iceland_hard_003,Common
9,Locale_Stage:chapter_name_08,Locale_Stage:chapter_description_08,1,8,open,ChapterMap_Image_008,ChapterMap_Image_008,fcbg_wasteland_001,fcbg_wasteland_hard_001,Common
10,Locale_Stage:chapter_name_09,Locale_Stage:chapter_description_09,1,9,open,ChapterMap_Image_009,ChapterMap_Image_009,fcbg_wasteland_002,fcbg_wasteland_hard_002,Common
11,Locale_Stage:chapter_name_10,Locale_Stage:chapter_description_10,1,10,open,ChapterMap_Image_010,ChapterMap_Image_010,fcbg_desert_001,fcbg_desert_hard_001,Common
12,Locale_Stage:chapter_name_11,Locale_Stage:chapter_description_11,1,11,open,ChapterMap_Image_011,ChapterMap_Image_011,fcbg_desert_002,fcbg_desert_hard_002,Common
13,Locale_Stage:chapter_name_12,Locale_Stage:chapter_description_12,1,12,open,ChapterMap_Image_012,ChapterMap_Image_012,fcbg_greathole_001,fcbg_greathole_hard_001,Common
14,Locale_Stage:chapter_name_13,Locale_Stage:chapter_description_13,1,13,open,ChapterMap_Image_010,ChapterMap_Image_010,fcbg_desert_003,fcbg_desert_hard_003,Common
15,Locale_Stage:chapter_name_14,Locale_Stage:chapter_description_14,1,14,open,ChapterMap_Image_002,ChapterMap_Image_002,fcbg_cityforest_005,fcbg_cityforest_hard_005,Common
16,Locale_Stage:chapter_name_15,Locale_Stage:chapter_description_15,1,15,open,ChapterMap_Image_004,ChapterMap_Image_004,fcbg_cityforest_006,fcbg_cityforest_hard_006,Common
17,Locale_Stage:chapter_name_16,Locale_Stage:chapter_description_16,1,16,open,ChapterMap_Image_007,ChapterMap_Image_007,fcbg_iceland_004,fcbg_iceland_hard_004,Common
18,Locale_Stage:chapter_name_17,Locale_Stage:chapter_description_17,1,17,open,ChapterMap_Image_006,ChapterMap_Image_006,fcbg_iceland_005,fcbg_iceland_hard_005,Common
19,Locale_Stage:chapter_name_18,Locale_Stage:chapter_description_18,1,18,open,ChapterMap_Image_012,ChapterMap_Image_012,fcbg_greathole_002,fcbg_greathole_hard_002,Common
20,Locale_Stage:chapter_name_19,Locale_Stage:chapter_description_19,1,19,open,ChapterMap_Image_008,ChapterMap_Image_008,fcbg_wasteland_003,fcbg_wasteland_hard_003,Common
21,Locale_Stage:chapter_name_20,Locale_Stage:chapter_description_20,1,20,open,ChapterMap_Image_011,ChapterMap_Image_011,fcbg_desert_004,fcbg_desert_hard_004,Common
22,Locale_Stage:chapter_name_21,Locale_Stage:chapter_description_21,1,21,open,ChapterMap_Image_021,ChapterMap_Image_021,fcbg_desert_005,fcbg_desert_hard_005,Common
23,Locale_Stage:chapter_name_22,Locale_Stage:chapter_description_22,1,22,open,ChapterMap_Image_022,ChapterMap_Image_022,fcbg_arkcity_001,fcbg_arkcity_hard_001,Common
24,Locale_Stage:chapter_name_23,Locale_Stage:chapter_description_23,1,23,open,ChapterMap_Image_023,ChapterMap_Image_023,fcbg_arkcity_002,fcbg_arkcity_hard_002,Common
25,Locale_Stage:chapter_name_24,Locale_Stage:chapter_description_24,1,24,open,ChapterMap_Image_024,ChapterMap_Image_024,fcbg_arkcity_003,fcbg_arkcity_hard_003,Common
26,Locale_Stage:chapter_name_25,Locale_Stage:chapter_description_25,1,25,open,ChapterMap_Image_025,ChapterMap_Image_025,fcbg_cityforest_007,fcbg_cityforest_hard_007,Common
27,Locale_Stage:chapter_name_26,Locale_Stage:chapter_description_26,1,26,open,ChapterMap_Image_026,ChapterMap_Image_026,fcbg_desert_006,fcbg_desert_hard_006,Common
28,Locale_Stage:chapter_name_27,Locale_Stage:chapter_description_27,1,27,open,ChapterMap_Image_027,ChapterMap_Image_027,fcbg_desertcrystal_001,fcbg_desertcrystal_hard_001,Common
29,Locale_Stage:chapter_name_28,Locale_Stage:chapter_description_28,1,28,open,ChapterMap_Image_028,ChapterMap_Image_028,fcbg_cityforestcrystal_001,fcbg_cityforestcrystal_hard_001,Common
30,Locale_Stage:chapter_name_29,Locale_Stage:chapter_description_29,1,29,open,ChapterMap_Image_029,ChapterMap_Image_029,fcbg_cityforestcrystal_002,fcbg_cityforestcrystal_hard_002,Common
31,Locale_Stage:chapter_name_30,Locale_Stage:chapter_description_30,1,30,open,ChapterMap_Image_030,ChapterMap_Image_030,fcbg_cityforestcrystal_003,fcbg_cityforestcrystal_hard_003,Common
32,Locale_Stage:chapter_name_31,Locale_Stage:chapter_description_31,1,31,open,ChapterMap_Image_031,ChapterMap_Image_031,fcbg_cityforestcrystal_004,fcbg_cityforestcrystal_hard_004,Common
33,Locale_Stage:chapter_name_32,Locale_Stage:chapter_description_32,1,32,open,ChapterMap_Image_032,ChapterMap_Image_032,fcbg_cityforestcrystal_005,fcbg_cityforestcrystal_hard_005,Common
34,Locale_Stage:chapter_name_33,Locale_Stage:chapter_description_33,1,33,open,ChapterMap_Image_033,ChapterMap_Image_033,fcbg_cityforestcrystal_006,fcbg_cityforestcrystal_hard_006,Common
35,Locale_Stage:chapter_name_34,Locale_Stage:chapter_description_34,1,34,open,ChapterMap_Image_034,ChapterMap_Image_034,fcbg_cityforestcrystal_007,fcbg_cityforestcrystal_hard_007,Common
36,Locale_Stage:chapter_name_35,Locale_Stage:chapter_description_35,1,35,open,ChapterMap_Image_035,ChapterMap_Image_035,fcbg_swamplandjungle_001,fcbg_swamplandjungle_hard_001,Common
37,Locale_Stage:chapter_name_36,Locale_Stage:chapter_description_36,1,36,open,ChapterMap_Image_036,ChapterMap_Image_036,fcbg_swamplandjungle_002,fcbg_swamplandjungle_hard_002,Common
38,Locale_Stage:chapter_name_37,Locale_Stage:chapter_description_37,1,37,open,ChapterMap_Image_037,ChapterMap_Image_037,fcbg_swamplandjungle_003,fcbg_swamplandjungle_hard_003,Common
39,Locale_Stage:chapter_name_38,Locale_Stage:chapter_description_38,1,38,open,ChapterMap_Image_038,ChapterMap_Image_038,fcbg_swamplandjungle_004,fcbg_swamplandjungle_hard_004,Common
40,Locale_Stage:chapter_name_39,Locale_Stage:chapter_description_39,1,39,open,ChapterMap_Image_039,ChapterMap_Image_039,fcbg_motherwhalefield_001,fcbg_motherwhalefield_hard_001,Common
41,Locale_Stage:chapter_name_40,Locale_Stage:chapter_description_40,1,40,open,ChapterMap_Image_040,ChapterMap_Image_040,fcbg_motherwhalefield_002,fcbg_motherwhalefield_hard_002,Common
