id,sector_localkey,sector_sub_localkey,name_localkey,description_localkey,type,sector,open_condition_type,open_condition_value,required_squad_count,max_nk_count,field_id,enable_smog,exploration_reward,enter_scenario,exit_scenario,bg,bg_info,sector_clear_condition
1,Locale_Stage:sector_number_01,Locale_Stage:sector_sub_number_01,Locale_Stage:sector_name_01,Locale_Stage:sector_description_01,0,1,Stage,6005003,1,5,flbg_lostsector_001,True,1400100,101,101,ui_flbg_lostsector_list_001,ui_flbg_lostsector_info_001,
2,Locale_Stage:sector_number_02,Locale_Stage:sector_sub_number_02,Locale_Stage:sector_name_02,Locale_Stage:sector_description_02,0,2,Stage,6006035,1,5,flbg_lostsector_002,True,1400200,,,ui_flbg_lostsector_list_002,ui_flbg_lostsector_info_002,1.0
3,Locale_Stage:sector_number_03,Locale_Stage:sector_sub_number_03,Locale_Stage:sector_name_03,Locale_Stage:sector_description_03,0,3,Stage,6008032,1,5,flbg_lostsector_003,True,1400300,,,ui_flbg_lostsector_list_003,ui_flbg_lostsector_info_003,2.0
4,Locale_Stage:sector_number_04,Locale_Stage:sector_sub_number_04,Locale_Stage:sector_name_04,Locale_Stage:sector_description_04,0,4,Stage,6009032,1,5,flbg_lostsector_004,True,1400400,,,ui_flbg_lostsector_list_004,ui_flbg_lostsector_info_004,3.0
5,Locale_Stage:sector_number_05,Locale_Stage:sector_sub_number_05,Locale_Stage:sector_name_05,Locale_Stage:sector_description_05,0,5,Stage,6010032,1,5,flbg_lostsector_005,True,1400500,,,ui_flbg_lostsector_list_005,ui_flbg_lostsector_info_005,4.0
6,Locale_Stage:sector_number_ex1,Locale_Stage:sector_sub_number_ex1,Locale_Stage:sector_name_06,Locale_Stage:sector_description_06,0,6,Stage,6011032,1,5,flbg_lostsector_006,True,1400600,,,ui_flbg_lostsector_list_006,ui_flbg_lostsector_info_006,5.0
7,Locale_Stage:sector_number_06,Locale_Stage:sector_sub_number_06,Locale_Stage:sector_name_07,Locale_Stage:sector_description_07,0,7,Stage,6012033,1,5,flbg_lostsector_007,True,1400700,,,ui_flbg_lostsector_list_008,ui_flbg_lostsector_info_008,5.0
8,Locale_Stage:sector_number_07,Locale_Stage:sector_sub_number_07,Locale_Stage:sector_name_08,Locale_Stage:sector_description_08,0,8,Stage,6013034,1,5,flbg_lostsector_008,True,1400800,,,ui_flbg_lostsector_list_007,ui_flbg_lostsector_info_007,7.0
9,Locale_Stage:sector_number_08,Locale_Stage:sector_sub_number_08,Locale_Stage:sector_name_09,Locale_Stage:sector_description_09,0,9,Stage,6014040,1,5,flbg_lostsector_009,True,1400900,,,ui_flbg_lostsector_list_009,ui_flbg_lostsector_info_009,8.0
10,Locale_Stage:sector_number_09,Locale_Stage:sector_sub_number_09,Locale_Stage:sector_name_10,Locale_Stage:sector_description_10,0,10,Stage,6015042,1,5,flbg_lostsector_010,True,1401000,,,ui_flbg_lostsector_list_010,ui_flbg_lostsector_info_010,9.0
11,Locale_Stage:sector_number_10,Locale_Stage:sector_sub_number_10,Locale_Stage:sector_name_11,Locale_Stage:sector_description_11,0,11,Stage,7003016,1,5,flbg_lostsector_011,True,1401100,,,ui_flbg_lostsector_list_011,ui_flbg_lostsector_info_011,10.0
12,Locale_Stage:sector_number_ex2,Locale_Stage:sector_sub_number_ex2,Locale_Stage:sector_name_12,Locale_Stage:sector_description_12,0,12,Stage,7003016,1,5,flbg_lostsector_012,True,1401200,,,ui_flbg_lostsector_list_012,ui_flbg_lostsector_info_012,11.0
13,Locale_Stage:sector_number_11,Locale_Stage:sector_sub_number_11,Locale_Stage:sector_name_13,Locale_Stage:sector_description_13,0,13,Stage,7004009,2,6,flbg_lostsector_013,True,1401300,,,ui_flbg_lostsector_list_013,ui_flbg_lostsector_info_013,11.0
14,Locale_Stage:sector_number_12,Locale_Stage:sector_sub_number_12,Locale_Stage:sector_name_14,Locale_Stage:sector_description_14,0,14,Stage,6019047,2,7,flbg_lostsector_014,True,1401400,,,ui_flbg_lostsector_list_014,ui_flbg_lostsector_info_014,13.0
15,Locale_Stage:sector_number_13,Locale_Stage:sector_sub_number_13,Locale_Stage:sector_name_15,Locale_Stage:sector_description_15,0,15,Stage,6020050,2,7,flbg_lostsector_015,True,1401500,,,ui_flbg_lostsector_list_015,ui_flbg_lostsector_info_015,14.0
16,Locale_Stage:sector_number_ex3,Locale_Stage:sector_sub_number_ex3,Locale_Stage:sector_name_16,Locale_Stage:sector_description_16,0,16,Stage,6020050,2,8,flbg_lostsector_016,True,1401600,,,ui_flbg_lostsector_list_016,ui_flbg_lostsector_info_016,15.0
