id,group_id,difficulty_step,play_time_min,play_time_max,spawn_distance_min,spawn_distance_max,spawn_line_0_ratio,spawn_line_1_ratio,spawn_line_2_ratio,difficulty_play_speed,auto_increase_play_speed
1003,1000,1,0,5,11,13,0,4,1,1.3,
1004,1000,2,5,10,10,12,0,4,1,1.4,
1005,1000,3,10,15,9,11,0,3,2,1.5,
1006,1000,4,15,20,8,10,0,3,2,1.6,
1007,1000,5,20,25,7,9,0,1,1,1.7,
1008,1000,6,25,30,6,9,0,1,1,1.8,
1009,1000,7,30,35,6,9,0,1,2,1.85,
1010,1000,8,35,40,6,8,0,0,1,1.9,
1011,1000,9,40,45,6,8,0,0,1,1.95,
1012,1000,10,45,50,5,8,0,0,1,2.0,
1013,1000,11,50,55,5,8,0,0,1,2.05,
1014,1000,12,55,60,5,7,0,0,1,2.1,
1015,1000,13,60,65,5,7,0,0,1,2.15,
1016,1000,14,65,70,4,7,0,0,1,2.2,
1017,1000,15,70,0,4,6,0,0,1,2.25,0.05
