id,group_id,gacha_type,gacha_sub_type,gacha_id,prob
1,10005,Character,None,110201,3
2,10005,Character,None,314001,3
3,10005,Character,None,321001,3
4,10005,Character,None,319101,3
5,10005,Character,None,209001,3
6,10005,Character,None,116001,3
7,10005,Character,None,217001,3
8,10005,Character,None,314201,3
9,10005,Character,None,115001,3
10,10005,Character,None,202201,3
11,10005,Character,None,203001,3
12,10005,Character,None,203201,3
13,10005,Character,None,207001,3
14,10005,Character,None,207101,3
15,10005,Character,None,207201,3
16,10005,Character,None,108001,3
17,10005,Character,None,209201,3
18,10005,Character,None,110101,3
19,10005,Character,None,111001,3
20,10005,Character,None,313001,3
21,10005,Character,None,117201,3
22,10005,Character,None,218001,3
23,10005,Character,None,319001,3
24,10005,Character,None,320101,3
25,10005,Character,None,324101,3
26,10005,Character,None,343201,3
27,10005,Character,None,343101,3
28,10005,Character,None,343001,3
29,10005,Character,None,324201,3
30,10005,Character,None,218101,3
31,10005,Character,None,108201,3
32,10005,Character,None,321201,3
33,10005,Character,None,320201,3
34,10005,Character,None,320001,3
35,10005,Character,None,317101,3
36,10005,Character,None,314101,3
37,10005,Character,None,113101,3
38,10005,Character,None,209101,3
39,10005,Character,None,235201,3
40,10005,Character,None,110001,3
41,10005,Character,None,111101,3
42,10005,Character,None,311201,3
43,10005,Character,None,331101,3
44,10005,Character,None,331201,3
45,10005,Character,None,338101,3
46,10005,Character,None,328201,3
47,10005,Character,None,204001,3
48,10005,Character,None,327001,3
49,10005,Character,None,327101,3
50,10005,Character,None,228001,3
51,10005,Character,None,338001,3
52,10005,Character,None,235001,3
53,10005,Character,None,232101,3
54,10005,Character,None,145001,3
55,10005,Character,None,145101,3
56,10005,Character,None,203301,3
57,10005,Character,None,119201,3
58,10005,Character,None,338201,3
59,10005,Character,None,328101,3
60,10005,Character,None,231301,3
61,10005,Character,None,331001,3
62,10005,Character,None,150001,3
63,10005,Character,None,204301,3
64,10005,Character,None,355001,3
65,10005,Character,None,150101,3
66,10005,Character,None,331401,3
67,10005,Character,None,319501,3
68,10005,Character,None,355101,3
69,10005,Character,None,139101,3
70,10005,Character,None,239001,3
71,10005,Character,None,327201,3
72,10005,Character,None,140301,3
73,10005,Character,None,258001,3
74,10005,Character,None,324001,3
75,10005,Character,None,141101,3
76,10005,Character,None,129001,3
77,10005,Character,None,235401,3
78,10005,Character,None,235501,3
79,10005,Character,None,141201,3
80,10005,Character,None,352001,3
81,10005,Character,None,352101,3
82,10005,Character,None,258101,3
83,10005,Character,None,204101,3
84,10005,Character,None,253201,3
85,10005,Character,None,209301,3
86,10005,Character,None,209501,3
87,10005,Character,None,209401,3
88,10005,Character,None,331501,3
89,10005,Character,None,314301,3
90,10005,Character,None,502301,3
91,10005,Character,None,207401,3
92,10004,Character,None,423001,2
93,10004,Character,None,422001,2
94,10004,Character,None,423201,2
95,10004,Character,None,422201,2
96,10004,Character,None,423101,2
97,10004,Character,None,422101,2
98,10004,Character,None,426001,2
99,10004,Character,None,423301,2
100,10004,Character,None,447001,2
101,10004,Character,None,422501,2
