id,event_id,field_design_map,field_art_map_standard,field_hud,field_first_entry_resource,link_event_pass_id,progress_event_group_id,is_use_roaming_npc,roaming_npc_limit,roaming_npc_type,roaming_npc_speed_minimum,roaming_npc_speed_maximum,player_squad_type,player_squad_value,player_squad_speed,sd_character_size,event_mission_group,event_field_currency_list/0/event_field_currency_type,event_field_currency_list/0/event_field_currency_id,event_field_currency_list/1/event_field_currency_type,event_field_currency_list/1/event_field_currency_id,roaming_npc_fixed_sd_character_group_id,recollection_hub_group_id,field_enter_scenario,field_enter_scenario_story_event_id
10001,80100,febg_christmas_001,febg_christmas_001_01,hud_event_field_miraclesnow,event_enter_miraclesnow,1000001,1001,True,5,UserCharacter,100,250,UserSquad,5,100,100,3,Material,7060003,AutoCharge,30001.0,,,,
10002,80200,febg_laboratory_001,febg_laboratory_001_01,hud_event_field_ce_01,event_enter_ce_01,1000003,1002,False,5,UserCharacter,100,250,UserSquad,5,100,100,8,Material,7060008,None,,,,,
10003,80300,febg_lostcity_001,febg_lostcity_001_01,hud_event_field_overzone,event_enter_overzone,1000004,1003,True,17,FixedSDCharacter,100,250,FixedSquad,10031,100,100,13,Material,7060013,None,,10032.0,,,
10004,80400,febg_tropical_001,febg_tropical_001_01,hud_event_field_bluewaterisland,event_enter_bluewaterisland,1000005,1004,False,5,UserCharacter,100,250,UserSquad,5,100,100,20,Material,7060020,Material,7061002.0,,,,
10005,80600,febg_tropical_002,febg_tropical_002_01,hud_event_field_seayouagain_night,event_enter_seayouagain,1000006,1005,False,5,UserCharacter,100,250,UserSquad,5,100,100,24,Material,7060024,None,,,,,
10006,80700,febg_factory_001,febg_factory_001,hud_event_field_ce002,event_enter_ce002,1000007,1006,True,5,UserCharacter,100,250,UserSquad,5,100,100,26,Material,7060026,None,,,,,
10007,80800,febg_mothership_001,febg_mothership_001_01,hud_event_field_redash_part1,event_enter_redash,1000008,1007,False,0,FixedSDCharacter,100,250,FixedSquad,10033,100,100,31,Material,7060031,None,,10035.0,10007.0,event_redash_prologue,40031.0
10008,80900,febg_hotspring_001,febg_hotspring_001_01,hud_event_field_neverland,event_enter_neverland,1000009,1008,False,0,UserCharacter,100,250,UserSquad,5,100,100,34,Material,7060034,None,,,10008.0,event_neverland1_prologue,40034.0
10009,81100,febg_shop_001,febg_shop_001_01,hud_event_field_ce003,event_enter_ce003,1000012,1009,False,0,UserCharacter,100,250,UserSquad,1,100,100,41,Material,7060041,None,,,10009.0,event_ce003_1_prologue,40041.0
10010,81200,febg_oldcastle_001,febg_oldcastle_001_01,hud_event_field_lastkingdom,event_enter_lastkingdom,1000013,1010,False,0,UserCharacter,100,250,FixedSquad,10037,100,100,45,Material,7060045,None,,,10010.0,event_lastkingdom1_prologue,40045.0
10011,81300,febg_coinrush_001,febg_coinrush_001_01,hud_event_field_goldencoinrush,event_enter_goldencoinrush,1000014,1011,False,0,UserCharacter,100,250,UserSquad,5,100,100,48,Material,7060048,None,,,10011.0,event_goldencoinrush1_prologue,40048.0
10012,81400,febg_tropical_003,febg_tropical_003_01,hud_event_field_beautyfullshot_daytime,event_enter_beautyfullshot,1000016,1012,False,0,UserCharacter,100,250,UserSquad,5,100,100,51,Material,7060051,None,,,10012.0,event_beautyfullshot1_prologue,40051.0
10013,81500,febg_mmrschool_001,febg_mmrschool_001_01,hud_event_field_ce004_02,event_enter_ce004,1000017,1013,False,0,UserCharacter,100,250,UserSquad,5,100,100,55,Material,7060055,None,,,10013.0,event_ce004_1_prologue,40055.0
10016,81600,febg_mirrordimension_001,febg_mirrordimension_001_01,hud_event_field_oldtales_01,event_enter_oldtales,1000020,1016,False,0,UserCharacter,100,250,FixedSquad,101611,100,100,61,Material,7060061,None,,,10016.0,event_oldtales1_prologue,40061.0
10017,81700,febg_snowvillage_001,febg_snowvillage_001_01,hud_event_field_icedragonsaga,event_enter_icedragonsaga,1000021,1017,False,0,UserCharacter,100,250,FixedSquad,101711,100,100,64,Material,7060064,None,,,10017.0,event_icedragonsaga1_prologue,40064.0
10018,81900,febg_redocean_001,febg_redocean_001_01,hud_event_field_ce005,event_enter_ce005,1000024,1018,True,10,UserCharacter,100,250,UserSquad,5,100,100,70,Material,7060070,None,,,10018.0,event_exnii1_prologue,40070.0
10019,82000,febg_aquarium_001,febg_aquarium_001_01,hud_event_field_unbreakablesphere,event_enter_unbreakablesphere,1000027,1019,True,20,UserCharacter,100,250,FixedSquad,101911,100,100,75,Material,7060075,None,,,10019.0,event_unbreakablesphere1_prologue,40075.0
10020,82100,febg_sbfloodedcity_001,febg_sbfloodedcity_001_01,hud_event_field_ce006,event_enter_ce006,1000029,1020,False,0,UserCharacter,100,250,FixedSquad,102011,100,100,79,Material,7060079,None,,,10020.0,event_ce006_1_prologue,40079.0
10021,82300,febg_factory_002,febg_factory_002_01,hud_event_field_ce002,event_enter_ce002,1000031,1021,True,5,UserCharacter,100,250,UserSquad,5,100,100,82,Material,7060082,None,,,,,
10024,82400,febg_cruise_001,febg_cruise_001_01,hud_event_field_boomtheghost,event_enter_boomtheghost,1000032,1024,False,0,UserCharacter,100,250,FixedSquad,102411,100,100,84,Material,7060084,None,,,10024.0,event_boomtheghost1_prologue,40084.0
10025,82500,febg_coinrush_002,febg_coinrush_002_01,hud_event_field_coinsinrush,event_enter_coinsinrush,1000033,1025,True,16,FixedSDCharacter,100,250,UserSquad,5,100,100,88,Material,7060088,None,,102502.0,10025.0,event_coinsinrush1_prologue,40088.0
