id,manager_id,tower_group_id,tower_type,tower_name,tower_description,tower_resource,tower_projectile,tower_hit_effect,tower_icon,tower_level,tower_cost,tower_reinforce_type,tower_reinforce_value_01,attack_range,attack_priority_01,attack_type,attack_effect_range,attack_target_count,attack_projectile_approach_time,attack_movement_type,tower_stat_atk,tower_stat_def_penetration,tower_stat_rpm,tower_rpm_text,hit_effect_print_type,tower_open_condition_stage_order,tower_reinforce_value_02,tower_skill_list/0/tower_skill_group,tower_skill_list/0/tower_skill_set_first_lv,tower_skill_list/1/tower_skill_group,tower_skill_list/1/tower_skill_set_first_lv,attack_priority_02,tower_default_buff,tower_stat_cast_delay,attack_projectile_max_height,attack_projectile_missile_propulsion_start_timing,apply_debuff,apply_chance,apply_debuff_hold_time,tower_burst_skill,linked_group_id,tower_open_condition_stage_clear,is_for_cinematic
100110101,1001,1001101,Tower,Locale_Event:td_tower_name_guntower_lv1,Locale_Event:td_tower_description_guntower_lv1,fortheking/tower/tower_gun_tower_lv1,fx_m_fortheking_projectile_dual,fx_m_fortheking_hit_basic,icn_tower_gun_tower,1,70,LevelUp,100110102.0,2150,Standard,Projectile,0,1,20.0,All,11,0,50,Locale_Event:td_rpm_fast,Everyone,,,,,,,,,,,,,,,,,,
100110102,1001,1001101,Tower,Locale_Event:td_tower_name_guntower_lv2,Locale_Event:td_tower_description_guntower_lv2,fortheking/tower/tower_gun_tower_lv2,fx_m_fortheking_projectile_dual,fx_m_fortheking_hit_basic,icn_tower_gun_tower,2,130,LevelUp,100110103.0,2200,Standard,Projectile,0,1,20.0,All,17,0,50,Locale_Event:td_rpm_fast,Everyone,,,,,,,,,,,,,,,,,,
100110103,1001,1001101,Tower,Locale_Event:td_tower_name_guntower_lv3,Locale_Event:td_tower_description_guntower_lv3,fortheking/tower/tower_gun_tower_lv3,fx_m_fortheking_projectile_dual,fx_m_fortheking_hit_basic,icn_tower_gun_tower,3,190,Evolve,100110104.0,2250,Standard,Projectile,0,1,20.0,All,22,0,50,Locale_Event:td_rpm_fast,Everyone,4.0,100110105.0,,,,,,,,,,,,,,,,
100110104,1001,1001101,Tower,Locale_Event:td_tower_name_chemicaltower,Locale_Event:td_tower_description_chemicaltower,fortheking/tower/tower_chemical_tower,fx_m_fortheking_projectile_chemical,fx_m_fortheking_hit_chemical,icn_tower_chemical_tower,4,300,SkillLvUp,,2450,Standard,Projectile,0,20,20.0,All,26,0,60,Locale_Event:td_rpm_fast,Everyone,7.0,,101.0,0.0,102.0,0.0,,,,,,,,,,,,
100110105,1001,1001101,Tower,Locale_Event:td_tower_name_gatlingtower,Locale_Event:td_tower_description_gatlingtower,fortheking/tower/tower_gatling_tower,,fx_m_fortheking_hit_instant,icn_tower_gatling_tower,4,300,SkillLvUp,,2250,Standard,Instant,250,3,,All,12,2000,80,Locale_Event:td_rpm_veryfast,Everyone,10.0,,103.0,0.0,104.0,0.0,,,,,,,,,,,,
100110201,1001,1001102,Tower,Locale_Event:td_tower_name_pulseguntower_lv1,Locale_Event:td_tower_description_pulseguntower_lv1,fortheking/tower/tower_pulsegun_tower_lv1,fx_m_fortheking_projectile_pulse,fx_m_fortheking_hit_pulse,icn_tower_pulsegun_tower,1,80,LevelUp,100110202.0,2350,BossFirst,Projectile,0,1,10.0,All,16,5000,30,Locale_Event:td_rpm_common,Everyone,,,,,,,Standard,,,,,,,,,,,
100110202,1001,1001102,Tower,Locale_Event:td_tower_name_pulseguntower_lv2,Locale_Event:td_tower_description_pulseguntower_lv2,fortheking/tower/tower_pulsegun_tower_lv2,fx_m_fortheking_projectile_pulse,fx_m_fortheking_hit_pulse,icn_tower_pulsegun_tower,2,140,LevelUp,100110203.0,2450,BossFirst,Projectile,0,1,10.0,All,24,6000,30,Locale_Event:td_rpm_common,Everyone,,,,,,,Standard,,,,,,,,,,,
100110203,1001,1001102,Tower,Locale_Event:td_tower_name_pulseguntower_lv3,Locale_Event:td_tower_description_pulseguntower_lv3,fortheking/tower/tower_pulsegun_tower_lv3,fx_m_fortheking_projectile_pulse,fx_m_fortheking_hit_pulse,icn_tower_pulsegun_tower,3,210,Evolve,100110204.0,2550,BossFirst,Projectile,0,1,10.0,All,32,7000,30,Locale_Event:td_rpm_common,Everyone,4.0,100110205.0,,,,,Standard,,,,,,,,,,,
100110204,1001,1001102,Tower,Locale_Event:td_tower_name_snipertower,Locale_Event:td_tower_description_snipertower,fortheking/tower/tower_sniper_tower,fx_m_fortheking_projectile_pulsesniper,fx_m_fortheking_hit_pulsesniper,icn_tower_sniper,4,330,SkillLvUp,,3050,BossFirst,Projectile,0,1,10.0,All,38,10000,40,Locale_Event:td_rpm_common,Everyone,7.0,,105.0,0.0,106.0,0.0,Standard,10011131.0,,,,,,,,,,
100110205,1001,1001102,Tower,Locale_Event:td_tower_name_railcannontower,Locale_Event:td_tower_description_railcannontower,fortheking/tower/tower_railcannon_tower,fx_m_fortheking_projectile_railcannon,fx_m_fortheking_hit_railcannon,icn_tower_railcannon,4,330,SkillLvUp,,2550,Standard,Projectile,600,0,30.0,Ground,55,8000,20,Locale_Event:td_rpm_slow,HitPoint,10.0,,107.0,0.0,108.0,0.0,,,100.0,,,,,,,,,
