id,group_id,order,helptip_title,helptip_image,helptip_description
1000101,10001,1,Locale_System:HELPTIP_RUNNINGSODA_STORY_TITLE,ele_letsplaysoda_tutorial_01,Locale_System:HELPTIP_RUNNINGSODA_STORY_DESC
1000201,10002,1,Locale_System:HELPTIP_RUNNINGSODA_CHALLENGE_TITLE,ele_letsplaysoda_tutorial_01,Locale_System:HELPTIP_RUNNINGSODA_CHALLENGE_DESC
1000301,10003,1,Locale_System:HELPTIP_STACKUPSODA_STORY_TITLE,ele_letsplaysoda_tutorial_04,Locale_System:HELPTIP_STACKUPSODA_STORY_DESC
1000401,10004,1,Locale_System:HELPTIP_STACKUPSODA_CHALLENGE_TITLE,ele_letsplaysoda_tutorial_04,Locale_System:HELPTIP_STACKUPSODA_CHALLENGE_DESC
1000501,10005,1,Locale_System:HELPTIP_CATCHCOINSODA_STORY_TITLE,ele_letsplaysoda_tutorial_03,Locale_System:HELPTIP_CATCHCOINSODA_STORY_DESC
1000601,10006,1,Locale_System:HELPTIP_CATCHCOINSODA_CHALLENGE_TITLE,ele_letsplaysoda_tutorial_03,Locale_System:HELPTIP_CATCHCOINSODA_CHALLENGE_DESC
1000701,10007,1,Locale_System:HELPTIP_SMASHSODA_STORY_TITLE,ele_letsplaysoda_tutorial_02,Locale_System:HELPTIP_SMASHSODA_STORY_DESC
1000801,10008,1,Locale_System:HELPTIP_SMASHSODA_CHALLENGE_TITLE,ele_letsplaysoda_tutorial_02,Locale_System:HELPTIP_SMASHSODA_CHALLENGE_DESC
1000901,10009,1,Locale_System:HELPTIP_CLIMBINGSODA_STORY_TITLE,ele_letsplaysoda_tutorial_05,Locale_System:HELPTIP_CLIMBINGSODA_STORY_DESC
1001001,10010,1,Locale_System:HELPTIP_CLIMBINGSODA_CHALLENGE_TITLE,ele_letsplaysoda_tutorial_05,Locale_System:HELPTIP_CLIMBINGSODA_CHALLENGE_DESC
1001101,10011,1,Locale_Event:ia_tutorial_playguide_title_01,ele_coralislandadventure_tutorial_01,Locale_Event:ia_tutorial_playguide_description_01_01
1001102,10011,2,Locale_Event:ia_tutorial_playguide_title_01,ele_coralislandadventure_tutorial_02,Locale_Event:ia_tutorial_playguide_description_01_02
