id,item_group,item_order,first_item,item_resource,item_name_locale,item_description_locale,maximum_amount,item_option_locale/0/item_option_locale,item_option_locale/1/item_option_locale,item_option_locale/2/item_option_locale,item_option/0/item_option_group,item_option/0/item_option_value,item_option/1/item_option_group,item_option/1/item_option_value,item_option/2/item_option_group,item_option/2/item_option_value,item_option_locale/3/item_option_locale,item_option/3/item_option_group,item_option/3/item_option_value,item_option_locale/4/item_option_locale,item_option/4/item_option_group,item_option/4/item_option_value,item_option_locale/5/item_option_locale,item_option/5/item_option_group,item_option/5/item_option_value
101,FishingRod,1,True,icn_island_adventure_fishingrod_01,Locale_Event:island_adventure_fishingrod_01_name,Locale_Event:island_adventure_fishingrod_01_description,1,,,,,,,,,,,,,,,,,,
102,FishingRod,2,False,icn_island_adventure_fishingrod_02,Locale_Event:island_adventure_fishingrod_02_name,Locale_Event:island_adventure_fishingrod_02_description,1,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_patternspeed_description,Locale_Event:island_adventure_item_option_goldratio_description,PatternDecreaseHP,1000.0,PatternSpeed,2000.0,GainGoldRatio,500.0,,,,,,,,,
103,FishingRod,3,False,icn_island_adventure_fishingrod_03,Locale_Event:island_adventure_fishingrod_03_name,Locale_Event:island_adventure_fishingrod_03_description,1,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_patternspeed_description,Locale_Event:island_adventure_item_option_doubleratio_description,PatternDecreaseHP,800.0,PatternSpeed,500.0,CatchDoubleRatio,1500.0,,,,,,,,,
104,FishingRod,4,False,icn_island_adventure_fishingrod_04,Locale_Event:island_adventure_fishingrod_04_name,Locale_Event:island_adventure_fishingrod_04_description,1,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_patternspeed_description,Locale_Event:island_adventure_item_option_goldratio_description,PatternDecreaseHP,2000.0,PatternSpeed,2500.0,GainGoldRatio,1000.0,Locale_Event:island_adventure_item_option_bonusratio_description,CastingBonusRatio,1000.0,,,,,,
105,FishingRod,5,False,icn_island_adventure_fishingrod_05,Locale_Event:island_adventure_fishingrod_05_name,Locale_Event:island_adventure_fishingrod_05_description,1,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_patternspeed_description,Locale_Event:island_adventure_item_option_doubleratio_description,PatternDecreaseHP,1500.0,PatternSpeed,500.0,CatchDoubleRatio,2000.0,Locale_Event:island_adventure_item_option_bonusratio_description,CastingBonusRatio,1000.0,,,,,,
106,FishingRod,6,False,icn_island_adventure_fishingrod_06,Locale_Event:island_adventure_fishingrod_06_name,Locale_Event:island_adventure_fishingrod_06_description,1,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_patternspeed_description,Locale_Event:island_adventure_item_option_goldratio_description,PatternDecreaseHP,3000.0,PatternSpeed,3000.0,GainGoldRatio,1500.0,Locale_Event:island_adventure_item_option_bonusratio_description,CastingBonusRatio,1500.0,Locale_Event:island_adventure_item_option_patterntime_description,PatternLimitTime,3.0,,,
107,FishingRod,7,False,icn_island_adventure_fishingrod_07,Locale_Event:island_adventure_fishingrod_07_name,Locale_Event:island_adventure_fishingrod_07_description,1,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_patternspeed_description,Locale_Event:island_adventure_item_option_doubleratio_description,PatternDecreaseHP,2300.0,PatternSpeed,1000.0,CatchDoubleRatio,2500.0,Locale_Event:island_adventure_item_option_bonusratio_description,CastingBonusRatio,1500.0,Locale_Event:island_adventure_item_option_patterntime_description,PatternLimitTime,3.0,,,
108,FishingRod,8,False,icn_island_adventure_fishingrod_08,Locale_Event:island_adventure_fishingrod_08_name,Locale_Event:island_adventure_fishingrod_08_description,1,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_patternspeed_description,Locale_Event:island_adventure_item_option_goldratio_description,PatternDecreaseHP,5000.0,PatternSpeed,3000.0,GainGoldRatio,2000.0,Locale_Event:island_adventure_item_option_bonusratio_description,CastingBonusRatio,2000.0,Locale_Event:island_adventure_item_option_patterntime_description,PatternLimitTime,5.0,Locale_Event:island_adventure_item_option_maxsizeratio_description,CatchMaxSizeRatio,100.0
109,FishingRod,9,False,icn_island_adventure_fishingrod_09,Locale_Event:island_adventure_fishingrod_09_name,Locale_Event:island_adventure_fishingrod_09_description,1,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_patternspeed_description,Locale_Event:island_adventure_item_option_doubleratio_description,PatternDecreaseHP,3500.0,PatternSpeed,1000.0,CatchDoubleRatio,3500.0,Locale_Event:island_adventure_item_option_bonusratio_description,CastingBonusRatio,2000.0,Locale_Event:island_adventure_item_option_patterntime_description,PatternLimitTime,5.0,Locale_Event:island_adventure_item_option_maxsizeratio_description,CatchMaxSizeRatio,100.0
110,FishingRod,10,False,icn_island_adventure_fishingrod_10,Locale_Event:island_adventure_fishingrod_10_name,Locale_Event:island_adventure_fishingrod_10_description,1,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_doubleratio_description,Locale_Event:island_adventure_item_option_patterntime_description,PatternDecreaseHP,1500.0,CatchDoubleRatio,1500.0,PatternLimitTime,5.0,,,,,,,,,
111,FishingRod,11,False,icn_island_adventure_fishingrod_11,Locale_Event:island_adventure_fishingrod_11_name,Locale_Event:island_adventure_fishingrod_11_description,1,Locale_Event:island_adventure_item_option_damage_description,,,PatternDecreaseHP,10000.0,,,,,,,,,,,,,
