id,trigger_list/0/trigger,trigger_list/0/condition_id,trigger_list/0/condition_value,trigger_list/1/trigger,trigger_list/1/condition_id,trigger_list/1/condition_value,trigger_list/2/trigger,trigger_list/2/condition_id,trigger_list/2/condition_value,trigger_list/3/trigger,trigger_list/3/condition_id,trigger_list/3/condition_value,trigger_list/4/trigger,trigger_list/4/condition_id,trigger_list/4/condition_value,trigger_list/5/trigger,trigger_list/5/condition_id,trigger_list/5/condition_value,message_type,tid,resource_id,stamina_value,reward_id,event_id
2000101,ObtainCharacter,3001,1,MainQuestClear,7,1,None,0,0,None,0,0,None,0,0,None,0,0,Message,m_ex_rapi_01,0,0,0,
2000102,ObtainCharacter,3001,1,MessageClear,2000101,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_rapi_02,0,0,0,
2000103,ObtainCharacter,3001,1,MessageClear,2000101,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_rapi_03,0,0,0,
2000201,ObtainCharacter,3002,1,MainQuestClear,18,1,None,0,0,None,0,0,None,0,0,None,0,0,Message,m_ex_neon_01,0,0,0,
2000202,ObtainCharacter,3002,1,MessageClear,2000201,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_neon_02,0,0,0,
2000203,ObtainCharacter,3002,1,MessageClear,2000201,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_neon_03,0,0,0,
2000302,ObtainCharacter,3003,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_delta_02,0,0,0,
2000303,ObtainCharacter,3003,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_delta_03,0,0,0,
2000401,ObtainCharacter,3005,1,MainQuestClear,7,1,None,0,0,None,0,0,None,0,0,None,0,0,Message,m_ex_anis_01,0,0,0,
2000402,ObtainCharacter,3005,1,MessageClear,2000401,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_anis_02,0,0,0,
2000403,ObtainCharacter,3005,1,MessageClear,2000401,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_anis_03,0,0,0,
2000502,ObtainCharacter,3006,1,MainQuestClear,51,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_mihara_02,0,0,0,
2000503,ObtainCharacter,3006,1,MainQuestClear,51,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_mihara_03,0,0,0,
2000602,ObtainCharacter,3007,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_belorta_02,0,0,0,
2000603,ObtainCharacter,3007,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_belorta_03,0,0,0,
2000702,ObtainCharacter,3008,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_mica_02,0,0,0,
2000703,ObtainCharacter,3008,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_mica_03,0,0,0,
2000802,ObtainCharacter,3009,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_n102_02,0,0,0,
2000803,ObtainCharacter,3009,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_n102_03,0,0,0,
2000902,ObtainCharacter,3010,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_ether_02,0,0,0,
2000903,ObtainCharacter,3010,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_ether_03,0,0,0,
2001001,ObtainCharacter,5001,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,Message,m_ex_maxwell_01,0,0,0,
2001002,ObtainCharacter,5001,1,MessageClear,2001001,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_maxwell_02,0,0,0,
2001003,ObtainCharacter,5001,1,MessageClear,2001001,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_maxwell_03,0,0,0,
2001004,ObtainCharacter,5001,1,MessageClear,2001001,1,None,0,0,None,0,0,None,0,0,None,0,0,DailyMessage,m_ex_maxwell_04,0,0,0,
2001005,ObtainCharacter,5001,1,MessageClear,2001001,1,None,0,0,None,0,0,None,0,0,None,0,0,DailyMessage,m_ex_maxwell_05,0,0,0,
2001006,ObtainCharacter,5001,1,MessageClear,2001001,1,None,0,0,None,0,0,None,0,0,None,0,0,DailyMessage,m_ex_maxwell_06,0,0,0,
2001101,ObtainCharacter,5002,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,Message,m_ex_sugar_01,0,0,0,
2001102,ObtainCharacter,5002,1,MessageClear,2001101,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_sugar_02,0,0,0,
2001103,ObtainCharacter,5002,1,MessageClear,2001101,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_sugar_03,0,0,0,
2001201,ObtainCharacter,5003,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,Message,m_ex_exia_01,0,0,0,
2001202,ObtainCharacter,5003,1,MessageClear,2001201,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_exia_02,0,0,0,
2001203,ObtainCharacter,5003,1,MessageClear,2001201,1,None,0,0,None,0,0,None,0,0,None,0,0,RandomMessage,m_ex_exia_03,0,0,0,
