id,group_id,enhance_type,enhance_level,is_maximum,enhance_value_01,enhance_level_locale,enhance_material_item_type,enhance_material_item_value,enhance_material_locale,enhance_value_02
101,1,HP,1,False,40000,Locale_Event:ce006_enhance_hp_level,None,0,,
102,1,HP,2,False,45000,Locale_Event:ce006_enhance_hp_level,BodyCore,1,Locale_Event:ce006_enhance_material_bodycore,
103,1,HP,3,False,50000,Locale_Event:ce006_enhance_hp_level,BodyCore,1,Locale_Event:ce006_enhance_material_bodycore,
104,1,HP,4,False,55000,Locale_Event:ce006_enhance_hp_level,BodyCore,1,Locale_Event:ce006_enhance_material_bodycore,
105,1,HP,5,False,60000,Locale_Event:ce006_enhance_hp_level,BodyCore,1,Locale_Event:ce006_enhance_material_bodycore,
106,1,HP,6,True,65000,Locale_Event:ce006_enhance_hp_level,BodyCore,1,Locale_Event:ce006_enhance_material_bodycore,
201,1,BetaGauge,1,False,300,Locale_Event:ce006_enhance_beta_gauge_level,None,0,,
202,1,BetaGauge,2,False,400,Locale_Event:ce006_enhance_beta_gauge_level,BetaCore,1,Locale_Event:ce006_enhance_material_betacore,
203,1,BetaGauge,3,False,500,Locale_Event:ce006_enhance_beta_gauge_level,BetaCore,1,Locale_Event:ce006_enhance_material_betacore,
204,1,BetaGauge,4,False,600,Locale_Event:ce006_enhance_beta_gauge_level,BetaCore,1,Locale_Event:ce006_enhance_material_betacore,
205,1,BetaGauge,5,False,700,Locale_Event:ce006_enhance_beta_gauge_level,BetaCore,1,Locale_Event:ce006_enhance_material_betacore,
206,1,BetaGauge,6,True,800,Locale_Event:ce006_enhance_beta_gauge_level,BetaCore,1,Locale_Event:ce006_enhance_material_betacore,
301,1,Atk,1,False,100,Locale_Event:ce006_enhance_attack_level,None,0,,
302,1,Atk,2,False,115,Locale_Event:ce006_enhance_attack_level,Gold,2000,Locale_Event:ce006_enhance_material_gold,
303,1,Atk,3,False,130,Locale_Event:ce006_enhance_attack_level,Gold,3000,Locale_Event:ce006_enhance_material_gold,
304,1,Atk,4,False,145,Locale_Event:ce006_enhance_attack_level,Gold,4000,Locale_Event:ce006_enhance_material_gold,
305,1,Atk,5,False,160,Locale_Event:ce006_enhance_attack_level,Gold,5000,Locale_Event:ce006_enhance_material_gold,
306,1,Atk,6,False,175,Locale_Event:ce006_enhance_attack_level,Gold,7500,Locale_Event:ce006_enhance_material_gold,
307,1,Atk,7,False,190,Locale_Event:ce006_enhance_attack_level,Gold,10000,Locale_Event:ce006_enhance_material_gold,
308,1,Atk,8,False,210,Locale_Event:ce006_enhance_attack_level,Gold,12500,Locale_Event:ce006_enhance_material_gold,
309,1,Atk,9,False,230,Locale_Event:ce006_enhance_attack_level,Gold,15000,Locale_Event:ce006_enhance_material_gold,
310,1,Atk,10,True,250,Locale_Event:ce006_enhance_attack_level,Gold,15000,Locale_Event:ce006_enhance_material_gold,
401,1,Potion,1,False,3,Locale_Event:ce006_enhance_potion_level,None,0,,12000.0
402,1,Potion,2,False,4,Locale_Event:ce006_enhance_potion_level,Gold,2500,Locale_Event:ce006_enhance_material_gold,12000.0
403,1,Potion,3,False,5,Locale_Event:ce006_enhance_potion_level,Gold,2500,Locale_Event:ce006_enhance_material_gold,14000.0
404,1,Potion,4,False,6,Locale_Event:ce006_enhance_potion_level,Gold,2500,Locale_Event:ce006_enhance_material_gold,14000.0
405,1,Potion,5,False,7,Locale_Event:ce006_enhance_potion_level,Gold,2500,Locale_Event:ce006_enhance_material_gold,16000.0
406,1,Potion,6,False,8,Locale_Event:ce006_enhance_potion_level,Gold,2500,Locale_Event:ce006_enhance_material_gold,18000.0
407,1,Potion,7,True,9,Locale_Event:ce006_enhance_potion_level,Gold,2500,Locale_Event:ce006_enhance_material_gold,20000.0
