id,manager_id,tutorial_page_group_id,tutorial_type,tutorial_title_localkey,is_opened,archive_manager_id
100101,1001.0,100101,MyRoom,Locale_Event:snowfalloasis_tutorial_title_myroom,True,
100102,1001.0,100102,WorldMap,Locale_Event:snowfalloasis_tutorial_title_worldmap,True,
100103,1001.0,100103,DialogEvent,Locale_Event:snowfalloasis_tutorial_title_dialogevent,True,
100104,1001.0,100104,RelationEvent,Locale_Event:snowfalloasis_tutorial_title_relationevent,True,
100105,1001.0,100105,HeroineGroup,Locale_Event:snowfalloasis_tutorial_title_heroinegroup,True,
100106,1001.0,100106,LostItem,Locale_Event:snowfalloasis_tutorial_title_lostitem,False,
100107,1001.0,100107,InfinityTime,Locale_Event:snowfalloasis_tutorial_title_infinitytime,False,
100108,1001.0,100108,InfinityStamina,Locale_Event:snowfalloasis_tutorial_title_infinitystamina,False,
200101,,200101,MyRoom,Locale_Event:snowfalloasis_tutorial_title_myroom,True,1001.0
200102,,200102,WorldMap,Locale_Event:snowfalloasis_tutorial_title_worldmap,True,1001.0
200103,,200103,DialogEvent,Locale_Event:snowfalloasis_tutorial_title_dialogevent,True,1001.0
200104,,200104,RelationEvent,Locale_Event:snowfalloasis_tutorial_title_relationevent,True,1001.0
200105,,200105,HeroineGroup,Locale_Event:snowfalloasis_tutorial_title_heroinegroup,True,1001.0
200106,,200106,LostItem,Locale_Event:snowfalloasis_tutorial_title_lostitem,False,1001.0
200107,,200107,InfinityTime,Locale_Event:snowfalloasis_tutorial_title_infinitytime,False,1001.0
