id,mission_type,condition_type,condition_id,condition_value,name_localkey,point_value,order,reward_id
10101,Daily,WaveClear,0,1,Locale_Event:EventBM_mission_wave_clear_name,30,1,0
10102,Daily,UseCurrency,1,100,Locale_Event:EventBM_mission_use_currency_name,30,2,0
10103,Daily,MinionSummon,0,5,Locale_Event:EventBM_mission_any_minion_summon_name,40,3,0
10104,Daily,HeroSummon,0,1,Locale_Event:EventBM_mission_any_hero_summon_name,40,4,0
10105,Daily,KillEnemy,0,30,Locale_Event:EventBM_mission_any_kill_enemy_name,30,5,0
10201,DailyPoint,DailyPoint,0,20,Locale_Event:EventBM_mission_daily_point_name,0,1,8152045
10202,DailyPoint,DailyPoint,0,40,Locale_Event:EventBM_mission_daily_point_name,0,2,8152046
10203,DailyPoint,DailyPoint,0,60,Locale_Event:EventBM_mission_daily_point_name,0,3,8152047
10204,DailyPoint,DailyPoint,0,80,Locale_Event:EventBM_mission_daily_point_name,0,4,8152048
10205,DailyPoint,DailyPoint,0,100,Locale_Event:EventBM_mission_daily_point_name,0,5,8152049
20201,Achievement,ChallengeWaveClear,0,3,Locale_Event:EventBM_mission_challenge_wave_clear_name,0,7,8152050
20202,Achievement,ChallengeWaveClear,0,6,Locale_Event:EventBM_mission_challenge_wave_clear_name,0,8,8152051
20203,Achievement,ChallengeWaveClear,0,12,Locale_Event:EventBM_mission_challenge_wave_clear_name,0,9,8152052
20302,Achievement,StageClear,103,1,Locale_Event:EventBM_mission_stage_clear_name,0,1,8152053
20303,Achievement,StageClear,107,1,Locale_Event:EventBM_mission_stage_clear_name,0,2,8152054
20305,Achievement,StageClear,203,1,Locale_Event:EventBM_mission_stage_clear_name,0,3,8152055
20306,Achievement,StageClear,207,1,Locale_Event:EventBM_mission_stage_clear_name,0,4,8152056
20308,Achievement,StageClear,303,1,Locale_Event:EventBM_mission_stage_clear_name,0,5,8152057
20309,Achievement,StageClear,307,1,Locale_Event:EventBM_mission_stage_clear_name,0,6,8152058
20401,Achievement,MinionSummon,0,30,Locale_Event:EventBM_mission_any_minion_summon_name,0,19,8152059
20402,Achievement,MinionSummon,0,100,Locale_Event:EventBM_mission_any_minion_summon_name,0,20,8152060
20403,Achievement,MinionSummon,0,250,Locale_Event:EventBM_mission_any_minion_summon_name,0,21,8152061
20601,Achievement,HeroSummon,2011,3,Locale_Event:EventBM_mission_hero_summon_name,0,10,8152062
20602,Achievement,HeroSummon,2021,3,Locale_Event:EventBM_mission_hero_summon_name,0,11,8152063
20603,Achievement,HeroSummon,2031,3,Locale_Event:EventBM_mission_hero_summon_name,0,12,8152064
20701,Achievement,KillEnemy,0,200,Locale_Event:EventBM_mission_any_kill_enemy_name,0,13,8152065
20702,Achievement,KillEnemy,0,850,Locale_Event:EventBM_mission_any_kill_enemy_name,0,14,8152066
20703,Achievement,KillEnemy,0,2000,Locale_Event:EventBM_mission_any_kill_enemy_name,0,15,8152067
20801,Achievement,LevelUpCount,0,5,Locale_Event:EventBM_mission_level_up_count_name,0,16,8152068
20802,Achievement,LevelUpCount,0,15,Locale_Event:EventBM_mission_level_up_count_name,0,17,8152069
20803,Achievement,LevelUpCount,0,45,Locale_Event:EventBM_mission_level_up_count_name,0,18,8152070
20901,Achievement,TargetLevelUp,0,5,Locale_Event:EventBM_mission_any_target_level_up_name,0,25,8152071
20902,Achievement,TargetLevelUp,0,15,Locale_Event:EventBM_mission_any_target_level_up_name,0,26,8152072
20903,Achievement,TargetLevelUp,0,25,Locale_Event:EventBM_mission_any_target_level_up_name,0,27,8152073
21001,Achievement,UseCurrency,1,5000,Locale_Event:EventBM_mission_use_currency_name,0,22,8152074
21002,Achievement,UseCurrency,1,15000,Locale_Event:EventBM_mission_use_currency_name,0,23,8152075
21003,Achievement,UseCurrency,1,55000,Locale_Event:EventBM_mission_use_currency_name,0,24,8152076
